Matrix CSR ModCSR Jagged Ellpack
dwt_87 5302 4460 5874 15352
dwt_878 5881 4564 6514 10811
dwt_918 8286 5443 6223 16341
dwt_992 7084 4513 6689 11188
epb0 7274 3839 5807 5455
epb1 6681 4630 6243 13117
epb2 6813 4779 7245 12718
epb3 7385 5058 6504 10656
eris1176 13200 9640 21462 81201
ex1 10416 7861 10058 47561
ex10 8700 7033 6483 17701
ex10hs 8694 5549 7439 17830
ex11 10466 8278 10151 36334
ex12 9722 5542 7940 24792
ex13 8618 6665 8620 20426
ex14 8088 5370 6979 20054
ex15 10020 4949 6356 12405
ex18 7354 5578 6143 12382
ex19 11593 5187 7412 17250
ex2 10229 8358 12906 84273
ex20 8722 6978 19982 34065
ex21 9783 7974 10050 69133
ex22 13935 9781 96379 63761
ex23 10002 6938 10499 34262
ex24 11720 9759 12134 43662
ex25 9994 7097 9091 33091
ex26 8826 6748 9700 39195
ex28 7316 7301 8150 35617
ex29 6257 4172 5563 7844
ex3 7746 5340 6879 19787
ex32 7272 5453 6387 16169
ex33 7201 4435 6417 10785
ex35 7252 4802 6548 11946
ex37 6709 4240 5900 10690
ex40 11993 8183 12306 42299
ex5 4228 4449 5364 15592
ex9 7609 7223 7180 19387
fs_183_1 10571 6938 19239 29806
fs_183_3 10018 5983 9536 43201
fs_183_4 8969 7090 7221 38661
fs_183_6 9499 6745 5849 29239
fs_541_1 6972 6981 7767 11790
fs_541_2 7717 6230 6987 12100
fs_541_3 19886 7357 7092 21445
fs_541_4 19896 6712 6623 16513
fs_680_1 8603 14268 8255 9444
fs_680_2 6595 6515 29660 14068
fs_680_3 6761 6025 8233 9721
fs_760_1 6427 4139 5683 11980
fs_760_2 8771 4545 8391 128513
fs_760_3 9211 5743 6094 9298
garon1 10452 6830 17025 26872
garon2 8127 6364 6547 20664
gemat1 33963 13361 6691 21474
gemat11 7854 5339 16380 54539
gemat12 7608 5114 6677 27190
gent113 6268 4755 6072 14991
goodwin 15033 16481 13877 90144
gr_30_30 6482 4289 5770 10485
graham1 13223 9316 13336 52579
gre_1107 7198 5267 6395 11658
gre_115 4459 4164 5282 12226
gre_185 6897 4690 5832 11087
