Matrix CSR ModCSR Jagged Ellpack
1138_bus 69646 1007119 71368 56631
494_bus 6216 5493 7251 13578
662_bus 5827 5325 9274 8760
685_bus 7828 5707 7979 14736
abb313 7650 6817 9223 39471
af23560 6883 6562 8621 19074
arc130 7152 6842 13618 76132
ash219 4751 6149 5895 18258
ash292 7340 5309 6756 14275
ash331 4950 4462 5653 20271
ash608 4923 4849 6104 16006
ash85 4900 5370 5905 11399
ash958 5371 4403 5770 16006
bcspwr01 5964 4198 7055 8926
bcspwr02 6013 21786 6918 17043
bcspwr03 19629 5962 7505 11134
bcspwr04 5058 5088 5776 12714
bcspwr05 4683 4533 5465 10036
bcspwr06 4918 4053 5964 8528
bcspwr07 4969 4120 6102 9902
bcspwr08 4877 3968 5340 11268
bcspwr09 4449 5258 5690 6150
bcspwr10 6483 3134 5629 4790
bcsstk01 6257 6510 6751 17051
bcsstk02 11868 15080 15138 84398
bcsstk04 7515 14447 9991 39366
bcsstk05 7491 5795 8412 27461
bcsstk06 6550 5975 7710 25038
bcsstk07 6820 5891 7525 26714
bcsstk08 5321 4938 14475 48787
bcsstk09 4688 4683 9189 14134
bcsstk10 30995 5871 7405 22028
bcsstk11 6638 5762 7062 24558
bcsstk12 5791 6040 6993 28394
bcsstk13 9128 6134 8425 23685
bcsstk14 7159 6700 8482 36058
bcsstk15 7322 6905 11538 41453
bcsstk16 5949 5738 7025 17662
bcsstk17 6316 5756 7497 56109
bcsstk18 6621 4351 6261 22451
bcsstk19 5360 5338 7030 12188
bcsstk20 4342 4625 6225 9053
bcsstk21 4849 5834 8535 7873
bcsstk22 7050 4541 7656 8552
bcsstk23 7641 7423 6599 21651
bcsstk24 7295 6937 13746 37850
bcsstk25 7497 5324 6677 79558
bcsstk26 6264 5326 7282 21095
bcsstk27 8015 7616 10216 36277
bcsstk28 7481 7991 9944 36698
bcsstk29 9215 10511 21406 59989
bcsstk30 9540 10251 14373 49786
bcsstk31 7930 9509 11906 34777
bcsstk32 7930 7755 8630 36056
bcsstk33 6934 5449 7945 16913
bcsstk34 7140 6716 8130 58291
bcsstk35 7769 6740 8514 28070
bcsstk36 8935 6924 9001 36105
bcsstk37 7458 6084 8521 28275
bcsstk38 9574 7384 9918 44442
bcsstm02 3448 3424 4202 3972
bcsstm05 3173 2536 4212 4052
bcsstm06 3336 3190 4484 4711
bcsstm07 8446 5836 7400 24944
bcsstm08 4485 3344 4930 4836
bcsstm09 5078 3329 4750 4920
bcsstm10 8110 5682 7398 21508
bcsstm11 15251 3723 5086 5351
bcsstm19 4466 4256 4651 4633
bcsstm20 3678 3448 4749 4131
bcsstm21 5304 3483 5383 4963
bcsstm22 3223 3519 3892 3996
bcsstm23 5455 3357 5402 5606
bcsstm24 4964 3640 5589 5282
bcsstm25 5907 3321 6043 5921
bcsstm26 5073 3500 4830 5025
bcsstm27 11665 8567 10407 36483
bcsstm34 8790 6563 9769 36406
bcsstm39 5867 5431 8743 6244
beaflw 7671 5691 6940 28561
beause 7536 5563 6609 17614
bfwa398 7303 5427 6671 16206
bfwa62 11103 6595 7583 27014
bfwa782 8659 5911 8337 14160
bfwb398 8548 6653 8787 13060
bfwb62 8080 5677 6750 18050
bfwb782 7436 5836 6399 9542
big 7205 4915 8102 18638
blckhole 7683 7028 6543 13108
bwm200 5564 4239 6000 7728
bwm2000 6905 6885 7079 38356
can_1054 8472 5300 6602 23661
can_1072 7416 5226 7384 21275
can_144 6174 7024 6863 31062
can_161 9873 4814 13757 11682
can_187 83202 6121 8665 17617
can_229 17269 42187 6399 51728
can_24 5188 5343 6364 15640
can_256 14125 7340 11997 31940
can_268 9491 7469 7234 29268
can_292 6877 6779 8872 21028
can_445 12563 5974 10415 16520
can_61 8304 7732 9913 47290
can_62 4314 5640 5201 11011
can_634 7949 6357 7899 11564
can_715 9759 6071 6233 12678
can_73 6341 5901 6998 15191
can_838 6896 4365 8663 10573
can_96 6000 4794 5880 11469
cavity01 13578 12428 14049 54314
