Matrix ModCSR Jagged Ellpack
1138_bus 482878 626236 1014095
494_bus 9134 12783 1323174
662_bus 7688 11245 131522
685_bus 9515 12148 191445
abb313 8320 9298 390120
af23560 11798 10822 255867
arc130 10608 17914 427687
ash219 6127 7012 131776
ash292 11936 8728 173603
ash331 5803 10589 249600
ash608 7885 13100 195116
ash85 8692 8012 204305
ash958 6574 12591 209520
bcspwr01 9082 7515 113893
bcspwr02 8818 9061 136579
bcspwr03 11791 12543 136955
bcspwr04 10334 10030 154441
bcspwr05 39667 6277 133678
bcspwr06 6478 10305 133705
bcspwr07 10425 9460 171704
bcspwr08 6330 6513 163437
bcspwr09 7181 6415 76444
bcspwr10 4608 5583 71777
bcsstk01 7668 7035 143760
bcsstk02 28050 22973 973851
bcsstk04 11354 13187 432706
bcsstk05 8435 9101 259169
bcsstk06 9291 16813 392248
bcsstk07 13601 9798 225640
bcsstk08 11186 8846 289844
bcsstk09 11150 7709 151189
bcsstk10 9687 13773 274267
bcsstk11 8168 13949 227157
bcsstk12 8621 8828 187178
bcsstk13 11287 9854 200515
bcsstk14 10934 11635 330691
bcsstk15 10263 12192 345483
bcsstk16 7325 8919 471473
bcsstk17 15495 9248 346957
bcsstk18 6336 7415 93320
bcsstk19 6980 7947 108950
bcsstk20 6667 6745 76807
bcsstk21 6242 6567 66615
bcsstk22 6418 6166 55860
bcsstk23 7350 8625 105136
bcsstk24 10238 11528 386527
bcsstk25 8017 7974 259915
bcsstk26 11280 9174 175370
bcsstk27 25919 14550 314750
bcsstk28 11333 13329 335408
bcsstk29 12113 13600 335905
bcsstk30 19655 15373 286353
bcsstk31 11689 19098 264231
bcsstk32 16881 13463 278656
bcsstk33 10538 12003 160728
bcsstk34 11831 11456 450747
bcsstk35 13950 13227 257407
bcsstk36 14448 13759 223587
bcsstk37 11472 12551 395593
bcsstk38 19908 16342 404602
bcsstm02 5692 6841 45635
bcsstm05 5148 7309 44790
bcsstm06 5651 6530 42818
bcsstm07 11178 11837 186340
bcsstm08 6667 8925 107530
bcsstm09 6575 10491 175840
bcsstm10 14084 12122 374024
bcsstm11 11487 12382 75965
bcsstm19 9724 11237 153277
bcsstm20 8724 10580 135251
bcsstm21 9410 12222 9912274
bcsstm22 9777 10201 70286
bcsstm23 9867 11776 67962
bcsstm24 14119 12755 78186
bcsstm25 10347 11266 199572
bcsstm26 8840 13544 76067
bcsstm27 14430 23883 267429
bcsstm34 13490 14554 200074
bcsstm39 7855 13498 116648
beaflw 16179 13074 136158
beause 11101 20466 114343
bfwa398 11293 13537 121658
