Matrix ModCSR Jagged Ellpack
1138_bus 1243548 2949491 16281453
494_bus 8938 10491 141406
662_bus 10916 11361 156280
685_bus 14057 12494 164987
abb313 11135 14455 321553
af23560 9951 11334 257445
arc130 11705 18719 424686
ash219 10265 7177 165017
ash292 11560 7731 139520
ash331 9465 10795 199283
ash608 9411 7649 176380
ash85 10515 11061 173956
ash958 8219 11901 177542
bcspwr01 8590 9212 143100
bcspwr02 10092 8871 144365
bcspwr03 10880 11248 142165
bcspwr04 11196 7917 150775
bcspwr05 9402 7130 120343
bcspwr06 6302 113447 134485
bcspwr07 9678 7832 203371
bcspwr08 7677 6432 575669
bcspwr09 10692 8049 296607
bcspwr10 5028 6023 84581
bcsstk01 8175 6934 144571
bcsstk02 20198 25993 960530
bcsstk04 13569 14133 420755
bcsstk05 16095 14959 353190
bcsstk06 12272 15636 242482
bcsstk07 12811 10109 216857
bcsstk08 11108 8893 372305
bcsstk09 7646 13786 234020
bcsstk10 9863 13817 201511
bcsstk11 77338 10694 196560
bcsstk12 11480 8916 190596
bcsstk13 9621 10639 208994
bcsstk14 11086 23607 415558
bcsstk15 10440 38275 420778
bcsstk16 8059 8751 321937
bcsstk17 9246 11794 288376
bcsstk18 6354 6713 88485
bcsstk19 8229 11473 117904
bcsstk20 6392 7146 71615
bcsstk21 7540 7359 97880
bcsstk22 11190 11417 63971
bcsstk23 10473 7971 121394
bcsstk24 11425 12230 242429
bcsstk25 8159 7740 102108
bcsstk26 9689 10005 194761
bcsstk27 12445 14026 288045
bcsstk28 14004 13952 305707
bcsstk29 14396 13468 296935
bcsstk30 18009 14288 288719
bcsstk31 10009 10733 198160
bcsstk32 10847 14758 342189
bcsstk33 8643 10024 167015
bcsstk34 10057 13090 239051
bcsstk35 11267 16950 218420
bcsstk36 11405 12716 242192
bcsstk37 10526 12140 320562
bcsstk38 12876 15448 352870
bcsstm02 5371 5886 41415
bcsstm05 4587 5641 44912
bcsstm06 4881 6027 48719
bcsstm07 14157 11413 200797
bcsstm08 5199 6683 48597
bcsstm09 5402 6746 63952
bcsstm10 10148 12403 145163
bcsstm11 5689 6822 51240
bcsstm19 5301 7463 45824
bcsstm20 5321 5323 40187
bcsstm21 5095 6668 52438
bcsstm22 5525 6084 41293
bcsstm23 4968 7243 91483
bcsstm24 5565 9389 72176
bcsstm25 5967 6740 63215
bcsstm26 37486 6814 52763
bcsstm27 13290 17292 276485
bcsstm34 14308 14632 201812
bcsstm39 10373 9325 73535
beaflw 15522 11480 166466
beause 11153 15405 149970
bfwa398 11699 11801 152546
bfwa62 13653 17733 202874
bfwa782 10976 12282 129465
bfwb398 22030 10400 85859
bfwb62 11314 8497 79964
bfwb782 10045 11263 84924
big 10258 11532 55065
blckhole 10805 10484 86632
bwm200 10635 12619 94911
bwm2000 13187 10576 107317
can_1054 12019 11249 137947
can_1072 13281 12856 124827
can_144 16104 10981 173870
can_161 14857 10823 158227
can_187 8991 9346 89548
can_229 10420 10140 81707
can_24 10001 11926 82902
can_256 12041 11590 166901
can_268 11397 12097 239723
can_292 12051 11021 85601
can_445 11341 11241 109008
can_61 10748 10679 200601
can_62 12189 11274 98917
can_634 10857 11341 103801
can_715 13047 11150 86057
can_73 10282 50271 84099
can_838 10389 12885 90833
can_96 9807 10458 97617
cavity01 17345 18189 317432
cavity03 17957 18352 665133
cavity05 22547 18722 555973
cavity07 16973 89722 318340
cavity09 17952 17987 411104
cavity10 17310 18607 350307
cavity12 16842 18092 569664
cavity14 19418 18560 442950
cavity16 17431 18082 348863
cavity18 17060 18529 353400
cavity20 19512 19316 315535
cavity22 16447 19841 416115
cavity24 17198 18720 337711
cavity26 17167 19449 357305
cdde1 10098 11310 86534
cdde2 9740 12305 90577
cdde3 10913 11333 91439
cdde4 10019 10325 91632
cdde5 12179 12616 150065
cdde6 10339 10857 89354
circuit_1 9934 10103 56468
circuit_2 8255 9809 111829
circuit_3 9913 10714 92881
circuit_4 9156 12128 53428
ck104 12332 11897 132752
ck400 11147 18740 160312
ck656 10982 12074 125668
coater1 14536 14409 125433
coater2 17504 20610 160364
conf5_0-4x4-10 13677 15681 255727
crystk01 12869 14786 182816
crystk02 15243 12206 515224
crystk03 9209 11830 102535
crystm01 9947 11773 103619
crystm02 8467 10588 90218
crystm03 8526 10434 50283
ct20stif 13820 14670 313558
curtis54 11832 10330 138434
d_ss 12435 9104 157354
dw1024 10812 11685 88053
dw256A 10761 15491 116293
dw256B 9895 35175 103024
dw4096 8887 10357 72845
dwt_1005 10275 11382 101003
dwt_1007 9773 11760 86495
dwt_1242 10825 12070 89550
dwt_162 15899 17268 113887
dwt_193 13927 19128 190853
dwt_198 9167 9672 78256
dwt_209 11371 10075 81935
dwt_221 11622 9558 81263
dwt_234 8966 9165 58851
dwt_245 10568 11010 106987
dwt_2680 10575 11318 118907
dwt_307 10944 11345 137790
dwt_310 14514 11049 116202
dwt_346 12664 12601 187435
dwt_361 20561 14987 129680
dwt_419 11787 11016 96230
dwt_492 11952 9592 83888
dwt_503 10354 11281 127985
dwt_512 11388 12233 103016
dwt_59 9229 8202 61890
dwt_592 10120 10407 86924
dwt_607 11660 11789 115754
dwt_66 9628 9136 59809
dwt_72 7009 7587 56587
dwt_758 9702 10335 68326
dwt_869 10746 11057 119073
dwt_87 9337 8730 78620
dwt_878 10754 12447 219307
dwt_918 12913 12772 91302
dwt_992 13206 12605 114737
epb0 54485 11775 75553
epb1 12324 12982 137466
epb2 11420 12027 84364
epb3 15211 13238 218005
eris1176 20676 25387 626050
ex1 19281 19581 1000890
ex10 14080 13714 110602
ex10hs 12772 13302 102104
ex11 18759 20122 299094
ex12 13373 19012 128901
ex13 14857 22980 161649
ex14 13041 18852 136358
ex15 12061 12929 77027
ex18 14511 13690 90779
ex19 19820 14025 122685
ex2 17496 19600 300272
ex20 16361 17820 181797
ex21 18355 17406 212306
ex22 26460 22415 384787
ex23 16957 17050 221481
ex24 19716 19989 328118
ex25 23789 21004 253398
ex26 15262 15877 179760
ex28 15013 16193 182828
ex29 11005 13952 56870
ex3 13658 17061 131758
ex32 13879 14588 91818
ex33 11942 13029 71299
ex35 12321 13385 103882
ex37 16720 12477 73015
ex40 21310 19935 383939
ex5 11675 8479 133549
ex9 13733 15217 155220
fs_183_1 15057 13860 93022
fs_183_3 14465 59320 115059
fs_183_4 13802 12185 99305
fs_183_6 13462 11948 249710
fs_541_1 13636 13925 117765
fs_541_2 12177 14212 137788
fs_541_3 13395 13034 101859
fs_541_4 11519 13748 104307
fs_680_1 14167 12565 85413
fs_680_2 11343 11895 82155
fs_680_3 12768 11856 84124
fs_760_1 12580 11676 67063
fs_760_2 12172 13228 69777
fs_760_3 10604 12410 67161
garon1 19721 14897 119321
garon2 12206 13365 102851
gemat1 12041 13361 96316
gemat11 12201 15384 88992
gemat12 14359 13318 114971
gent113 12792 10503 68263
goodwin 23439 25133 480166
gr_30_30 11772 13284 84286
graham1 20962 22540 402578
gre_1107 12945 12353 83231
gre_115 10880 9593 75805
gre_185 13826 11176 96557
gre_216a 11443 10215 77006
gre_216b 11720 11159 81198
gre_343 11892 11613 80457
gre_512 13125 11915 82641
hor_131 12834 13153 102974
ibm32 11178 9226 86447
illc1033 10869 11217 49926
illc1850 11361 12982 70725
impcol_a 11692 9977 56380
impcol_b 11868 10700 101215
impcol_c 9293 8836 56663
impcol_d 12650 11737 77817
impcol_e 18222 18151 166223
jagmesh1 11337 13311 68590
jagmesh2 18079 21375 1068882
jagmesh3 42510 44413 85602
jagmesh4 7771 10085 85502
jagmesh5 6774 9695 85260
jagmesh6 6350 8968 82924
jagmesh7 6794 8919 94239
jagmesh8 9152 13520 118775
jagmesh9 8055 13876 104913
jgl009 5323 6615 99382
jgl011 5366 7758 122040
jpwh_991 6907 9555 66846
