Matrix CSR ModCSR Jagged Ellpack
1138_bus 175827 651149 60740 65137
494_bus 7168 5640 7230 15095
662_bus 5648 4796 6783 9375
685_bus 6827 6262 7552 17074
abb313 8208 6182 6269 41315
af23560 8185 7435 8478 18756
arc130 7471 6540 12746 79927
ash219 6881 4871 6015 14041
ash292 7396 7205 7087 14700
ash331 6375 4725 7870 32600
ash608 5935 6229 9560 21196
ash85 5901 5469 6085 14742
ash958 7374 4860 9873 25591
bcspwr01 5506 5894 6263 12823
bcspwr02 7005 13614 7190 15405
bcspwr03 14481 5825 8159 11666
bcspwr04 8182 6237 7382 15604
bcspwr05 5127 6389 5515 12480
bcspwr06 6836 4680 8164 10945
bcspwr07 6179 5918 7472 11254
bcspwr08 7183 4482 6145 14260
bcspwr09 7499 5082 6038 11400
bcspwr10 6632 3643 5011 5241
bcsstk01 4949 5116 6299 17515
bcsstk02 16479 18743 15190 87467
bcsstk04 7535 7359 9512 39446
bcsstk05 6218 5972 7589 29704
bcsstk06 9090 6424 11640 40691
bcsstk07 7115 9298 7614 26041
bcsstk08 5822 6863 7297 48875
bcsstk09 5005 29028 6985 15072
bcsstk10 21442 6360 8067 22649
bcsstk11 5875 5508 9676 27399
bcsstk12 5895 5584 6966 25026
bcsstk13 6457 8070 7515 42963
bcsstk14 8598 7076 8848 36052
bcsstk15 13711 7600 9698 45843
bcsstk16 5721 5645 6921 27040
bcsstk17 6318 9497 7538 90098
bcsstk18 5888 4545 6786 29845
bcsstk19 5344 5273 6416 12340
bcsstk20 5196 4853 6705 12428
bcsstk21 4666 4969 6113 8156
bcsstk22 4931 4649 5537 8432
bcsstk23 5731 5259 7641 14586
bcsstk24 11303 6939 8756 39382
bcsstk25 7460 5571 6856 36980
bcsstk26 6821 7047 7641 52826
bcsstk27 7929 14849 9517 52526
bcsstk28 18117 7800 9555 48531
bcsstk29 9183 7817 10138 103420
bcsstk30 8961 11326 9944 44099
bcsstk31 8219 6742 13542 52846
bcsstk32 8066 8942 9152 51076
bcsstk33 9579 6076 8034 17857
bcsstk34 7716 6678 8309 79712
bcsstk35 8775 7869 9005 33157
bcsstk36 12612 8169 9248 36681
bcsstk37 7347 6245 8242 30027
bcsstk38 8798 11132 10245 51972
bcsstm02 4065 4096 4812 6308
bcsstm05 4143 2807 5115 6357
bcsstm06 4310 3523 5068 5890
bcsstm07 10665 6027 8465 37379
bcsstm08 5390 19627 5808 38488
bcsstm09 6903 3911 7336 9318
bcsstm10 8047 7959 8640 30390
bcsstm11 6928 5361 8508 9227
bcsstm19 6904 5895 7303 7639
bcsstm20 7321 4945 7007 7349
bcsstm21 8831 4767 7458 21555
bcsstm22 5968 5408 7090 8315
bcsstm23 6883 5670 8415 7419
bcsstm24 7130 8198 8505 8793
bcsstm25 5779 6519 7378 10701
bcsstm26 7578 5527 9825 7553
bcsstm27 12748 8284 15959 70743
bcsstm34 10998 7057 9204 36597
bcsstm39 9803 4022 8648 6778
beaflw 9568 8265 8177 39225
beause 7900 6106 10634 24355
bfwa398 8126 6282 8928 17002
bfwa62 9284 6809 7040 26467
bfwa782 8127 5894 7904 21551
bfwb398 7404 5557 7496 17830
bfwb62 5926 5215 7140 23708
bfwb782 11713 5617 11656 23432
big 7422 5163 6254 17747
blckhole 7777 5399 7239 10379
bwm200 5318 4492 6007 7940
bwm2000 6935 4847 6412 9368
can_1054 8570 6517 7534 28070
can_1072 10571 7113 7154 21941
can_144 7785 5967 7041 27383
can_161 7535 5317 6632 15427
can_187 37981 5689 6575 16400
can_229 6757 32036 7860 14576
can_24 4596 3901 4387 13815
can_256 7283 6042 6860 26190
can_268 7820 7240 6677 28619
can_292 12313 4955 6105 14610
can_445 7707 4619 9094 14586
can_61 20551 7291 6495 38687
can_62 4625 5029 4788 14850
can_634 6538 4483 7063 12456
can_715 24579 6744 7272 15795
can_73 5692 5440 5569 11611
can_838 6335 4891 6100 16602
can_96 6549 14065 5928 77700
cavity01 9589 8162 10065 56175
cavity03 9872 10540 10211 59074
cavity05 10186 7941 11241 64366
cavity07 9679 8138 10066 63545
cavity09 10304 7938 10504 62675
cavity10 10108 7730 10358 70135
cavity12 10652 8094 23243 65567
cavity14 10575 8184 16603 54375
cavity16 9792 9457 10175 70072
cavity18 10370 8148 10590 71681
cavity20 10017 16789 10295 66952
cavity22 26962 9877 12095 96845
cavity24 9955 8218 10315 60490
cavity26 12120 35980 17193 87275
cdde1 6368 5376 6468 17437
cdde2 9779 7275 10727 12781
cdde3 6324 7061 6388 9672
cdde4 7762 4751 6502 9962
cdde5 8147 5211 7389 11090
cdde6 6770 4479 9253 9992
circuit_1 6297 5097 5235 8475
circuit_2 7163 3773 5307 7259
circuit_3 7111 5866 7183 12211
circuit_4 6239 12951 5416 10873
ck104 5738 10255 7259 25012
ck400 7043 5247 6917 16139
ck656 7222 5475 7473 21175
coater1 7856 5894 7060 20509
coater2 8722 6209 7874 26245
conf5_0-4x4-10 9710 8597 9025 62481
crystk01 7707 6351 8585 24494
crystk02 10334 5400 8107 17676
crystk03 9853 4705 7547 18833
crystm01 6613 4765 6083 92162
crystm02 5803 4460 6105 11430
crystm03 6870 4239 5080 9808
ct20stif 7839 9732 11494 20475
curtis54 6391 5108 7023 23416
d_ss 4760 5147 5263 10645
dw1024 6560 4385 6684 11881
dw256A 6893 4586 6840 13911
dw256B 6553 4974 6687 12876
dw4096 6639 4065 6039 8687
dwt_1005 7229 5334 7267 12095
dwt_1007 6341 4532 6449 12120
dwt_1242 6605 6497 6346 12132
dwt_162 9427 5325 7197 13368
dwt_193 7631 5800 10520 30537
dwt_198 6943 4680 6914 11267
dwt_209 8538 5195 6220 19845
dwt_221 10949 4897 6485 17708
dwt_234 6793 4402 5878 12734
dwt_245 6748 5082 5701 14585
dwt_2680 7264 4778 17317 15565
dwt_307 5838 4748 6032 14932
dwt_310 9482 5020 6000 11277
dwt_346 7757 5329 7507 18293
dwt_361 7986 4663 6408 13781
dwt_419 7532 4804 6132 13916
dwt_492 7653 5204 6531 18024
dwt_503 6484 5551 6413 10758
dwt_512 7686 5006 6227 14785
dwt_59 5577 4922 6295 10779
dwt_592 6310 4156 5892 10818
dwt_607 6601 4407 6115 11079
dwt_66 11538 4512 26538 8978
dwt_72 4617 5723 5290 10463
dwt_758 5811 3885 5886 11557
dwt_869 7249 4873 6549 15825
dwt_87 6087 4797 5509 17952
dwt_878 30102 4328 6515 14219
dwt_918 8822 5438 7302 20257
dwt_992 7420 5051 6600 11860
epb0 6780 9148 5320 6401
epb1 8606 4753 6294 14595
epb2 7230 4762 7144 17857
epb3 8269 4427 9598 16280
eris1176 11845 9972 12682 75051
ex1 10356 7962 11128 47846
ex10 7994 7242 6758 21670
ex10hs 8944 4959 8610 18225
ex11 12574 8921 10041 44259
ex12 8507 6568 11681 36228
ex13 8837 55327 9058 27002
ex14 11370 5462 7249 26100
ex15 7726 6376 6198 10280
ex18 8827 4940 6915 52218
ex19 9457 5484 6950 23098
ex2 10737 8848 10469 49187
ex20 9312 6654 8322 34386
ex21 9461 6979 8589 31980
ex22 11829 9348 11998 68896
ex23 9476 17228 9052 38968
ex24 11873 8676 12078 41347
ex25 15510 7602 9465 33127
ex26 9270 6718 9015 35848
ex28 9067 6600 8746 26513
ex29 6906 4139 6155 9726
ex3 8587 5418 7214 20009
ex32 7834 5217 6690 32793
ex33 8146 4630 6351 14529
ex35 7701 4919 6645 16828
ex37 9360 3903 6111 12326
ex40 10670 8229 10070 56476
ex5 3711 4282 5010 16782
ex9 9342 5993 7735 20760
fs_183_1 7290 5497 6300 34884
fs_183_3 7091 5027 5901 32897
fs_183_4 8387 6372 8000 42080
fs_183_6 6236 5877 6203 30902
fs_541_1 7820 5008 9545 17442
fs_541_2 7692 5924 6305 14475
fs_541_3 8224 4935 7176 13302
fs_541_4 7757 5465 6994 17237
fs_680_1 9525 5394 6431 9851
fs_680_2 24070 4664 6186 13251
fs_680_3 7425 6751 7329 14428
fs_760_1 6346 4268 5609 8536
fs_760_2 7601 4679 5688 11311
fs_760_3 7891 6899 5875 11677
garon1 8095 5047 7432 14355
garon2 7241 4482 6754 11447
gemat1 8414 5047 7437 31360
gemat11 7635 7376 7011 31410
gemat12 14505 5308 6905 47678
gent113 5174 4669 5685 27494
goodwin 13380 11558 14281 75380
gr_30_30 6931 4291 5757 11420
graham1 12098 9488 12015 52684
gre_1107 8295 5421 7083 16273
gre_115 7056 4666 6370 16476
gre_185 6800 7540 6688 13110
gre_216a 7110 4875 5499 11837
gre_216b 5841 4972 5296 9364
gre_343 7876 31222 6787 12360
gre_512 7705 5070 7535 10339
hor_131 7443 5151 6937 12765
ibm32 4222 4276 6685 10589
illc1033 6866 4587 5901 14021
illc1850 7386 4317 7497 12380
impcol_a 6184 5165 6500 15375
impcol_b 5687 6576 6055 23201
impcol_c 4621 4326 4722 13614
impcol_d 6059 4538 5550 17539
impcol_e 7350 5160 6798 28436
jagmesh1 8422 4684 7155 9775
jagmesh2 17134 6700 10455 753695
jagmesh3 20563 5453 6628 17014
jagmesh4 6503 6205 11569 13982
jagmesh5 6045 6501 7530 10973
jagmesh6 5956 6253 7612 11098
jagmesh7 5988 6361 7572 11955
jagmesh8 5929 6276 7369 11342
jagmesh9 5795 5282 8879 8690
jgl009 3017 4087 4514 8059
jgl011 2466 2724 2950 9260
jpwh_991 4711 4898 6024 6601
lns_131 4753 6340 6230 17153
lns_3937 6394 6446 9416 9938
lns_511 5560 6581 7237 14221
lnsp3937 4962 5960 6285 7226
lnsp_131 6196 7640 7480 21750
lnsp_511 8075 8292 8675 16248
lop163 5656 7411 8295 13897
lpi_box1 5025 5627 8276 6359
lshp1009 5842 7146 7743 8469
lshp1270 5454 11725 8080 11728
lshp1561 5661 7141 8425 11163
lshp1882 8659 8056 7776 9206
lshp2233 5690 7445 7812 9397
lshp2614 5489 7865 10276 8809
lshp3025 5815 8325 8723 13594
lshp3466 5449 7574 12587 8649
lshp_265 11579 6798 12237 14322
lshp_406 6234 11419 8143 15532
lshp_577 6239 10901 7262 11920
lshp_778 5967 9822 11170 13479
lund_a 6613 9016 10344 19676
lund_b 7507 8945 14311 23875
mahindas 4394 7074 8047 7408
mcca 6758 8108 9570 22072
mcfe 8216 11179 28486 33904
meg1 4366 7218 6881 2470
mhd1280b 6112 8182 8451 21536
mhda416 8889 12339 14987 81980
mhdb416 5609 7003 7396 12705
mplate 5829 8421 10359 17230
msc00726 11343 10961 15645 30094
msc01440 5633 6983 8610 15909
msc04515 5960 7958 30500 20068
msc10848 5662 8160 7842 10806
nasa1824 6163 9123 12973 34843
nasa2910 8222 9578 10899 33110
nasa4704 5824 9161 8536 25915
nnc1374 6423 8521 8999 16230
nnc261 8017 9463 11583 28913
nnc666 8407 9391 10891 31611
nopoly 5156 7218 7810 8846
nos1 5172 7154 7247 9394
nos2 5671 7577 7895 9266
nos3 8010 9052 13222 23071
nos4 10999 6059 9202 17072
nos6 5324 8393 7145 11002
nos7 5690 7644 7808 8442
odepa400 5019 6283 7490 7689
odepb400 4451 5347 6485 3991
olm100 5026 6277 7718 8412
olm1000 7507 7180 9483 9074
olm2000 5739 7080 8991 13827
olm500 5193 7709 7937 11861
olm5000 5698 7967 9904 11707
onetone1 5830 7119 7726 12159
onetone2 5448 7727 7312 15060
orani678 5011 6753 7708 4691
orsirr_1 5647 8049 8273 15240
orsirr_2 7293 10712 8174 9903
orsreg_1 5774 9016 8972 12242
pcrystk02 5771 8804 9137 15863
pcrystk03 5603 8056 9043 11395
pct20stif 6370 9094 11107 22997
pde225 5404 8149 8548 11100
pde2961 5210 10285 7956 14066
pde900 5627 7917 8396 24171
pesa 5234 8035 7005 4189
plat1919 5615 6917 7650 7924
plat362 5267 8109 8358 7265
poli 5473 6650 7155 13048
poli_large 5321 9080 8097 10323
pores_1 3991 5691 5455 12028
pores_2 6401 14184 8944 17356
pores_3 5110 7749 7871 9165
pre2 5187 7332 7188 17882
psmigr_1 17560 16100 16796 123607
psmigr_2 13182 15188 16272 83200
psmigr_3 11566 14324 16064 87830
pwtk 6539 8569 21864 23909
qc2534 11770 16760 16759 89508
qc324 12207 27365 27265 127749
qh882 4901 5771 6642 7914
rbsa480 7693 9994 10691 40391
rbsb480 8034 10361 10580 31187
rdb2048 5390 7356 7878 8240
rdb5000 10751 8047 8133 10954
rdb968 5905 7399 8468 10145
rgg010 3047 6335 4743 12883
rim 10765 13655 21750 101151
rlfprim 4540 6924 7267 3048
rma10 6793 9774 10244 20987
rw136 4168 6563 7475 8896
rw496 5002 6666 6518 6587
rw5151 5036 6857 7338 5035
saylr1 6266 8916 8359 12415
saylr3 5691 8579 9163 7192
saylr4 5397 8545 7843 7682
sherman1 5605 7355 7463 7102
sherman2 9126 10791 11074 34709
sherman3 4806 7300 10355 10824
sherman4 5319 7157 7410 8217
sherman5 5831 6177 6499 6002
sstmodel 4792 7030 7855 36742
steam1 5820 26790 8369 10394
steam2 5240 7428 7799 10937
steam3 5883 7577 7855 16016
thermal 6119 8989 9599 15814
tub100 5694 7428 7871 11467
tub1000 10116 8078 7896 10754
twotone 5447 7584 8160 15529
vibrobox 5902 9023 8625 19375
watt_1 4383 6256 6995 4788
well1033 5090 6810 7329 12974
well1850 8750 6938 86903 14393
will57 5905 8121 7792 21352
wm1 11095 12235 14553 65415
wm2 10418 12808 14204 62738
wm3 662867 600874 1151042 61079
young1c 8643 26600 30178 10375
young2c 3994 4402 5033 15027
young3c 4389 3871 4939 12602
young4c 4270 3700 5300 9756
zenios 4102 3781 4843 16287
