Matrix ModCSR Jagged Ellpack
fs_183_6 10423 11002 48363
fs_541_1 11631 12695 79613
fs_541_2 11509 14335 79174
fs_541_3 12031 13119 79086
fs_541_4 11840 13009 87108
fs_680_1 12298 12567 61845
fs_680_2 11749 18414 83358
fs_680_3 11340 12927 82537
fs_760_1 15221 12199 45216
fs_760_2 10672 11867 44176
fs_760_3 10977 12595 44693
garon1 13390 14059 96236
garon2 11523 13122 79067
gemat1 12564 12875 76675
gemat11 13064 13157 64333
gemat12 11865 14591 76481
gent113 10774 12452 52459
goodwin 23353 25562 457978
gr_30_30 11289 13127 62174
graham1 21182 22748 387967
gre_1107 13655 12708 76388
gre_115 10144 9410 60799
gre_185 10800 11822 78048
gre_216a 10848 11219 60830
gre_216b 10003 11814 60310
gre_343 11707 12551 62701
gre_512 11818 14729 61793
hor_131 14642 13340 87124
ibm32 8765 9060 51981
illc1033 11620 11471 31619
illc1850 9672 11764 28287
impcol_a 10660 9650 51858
impcol_b 9440 9397 78053
impcol_c 8029 8879 43942
impcol_d 9818 11424 46219
impcol_e 12409 13599 100599
jagmesh1 10876 12045 45233
jagmesh2 18359 20153 1239864
jagmesh3 35903 37694 63198
jagmesh4 6115 9248 59424
jagmesh5 5993 8865 60334
jagmesh6 6271 8889 60050
jagmesh7 6815 9107 61100
jagmesh8 7030 16612 79045
jagmesh9 7164 8589 42658
jgl009 4139 5030 66321
jgl011 3194 5582 78794
jpwh_991 4628 9757 24218
lns_131 9963 10935 62395
lns_3937 6411 9251 73476
lns_511 6178 9275 60234
lnsp3937 5418 8483 24633
lnsp_131 7350 8533 61274
lnsp_511 5802 8695 26417
lop163 10405 11879 94836
lpi_box1 4601 8946 24759
lshp1009 6371 9830 59807
lshp1270 9655 10685 85363
lshp1561 6261 9891 61434
lshp1882 6373 10637 59775
lshp2233 6642 9812 43839
lshp2614 6190 10731 44140
lshp3025 5880 10499 43155
lshp3466 5833 9686 41789
lshp_265 6646 9362 60118
lshp_406 6555 9894 60209
lshp_577 6056 9596 60360
lshp_778 5886 9923 43469
lund_a 8970 12282 133703
lund_b 8973 11990 131220
mahindas 4430 9731 24699
mcca 9075 18152 114524
mcfe 13681 16336 491034
meg1 4890 12905 3552
mhd1280b 8217 10566 81065
mhda416 12270 17029 361575
mhdb416 9381 10038 51851
mplate 10237 11667 112943
msc00726 11420 14036 168802
msc01440 5497 9429 51190
msc04515 7235 12793 79502
msc10848 6025 9894 60459
nasa1824 8044 11278 80638
nasa2910 10132 14501 184528
nasa4704 8049 10892 80162
nnc1374 7227 10630 63079
nnc261 7353 10519 80525
nnc666 7394 10800 86609
nopoly 5034 8916 25587
nos1 5150 9436 41661
nos2 5386 9135 43326
nos3 7279 11025 137735
nos4 6467 8559 59126
nos6 5176 9352 42223
nos7 5503 9172 41187
odepa400 5082 8567 42134
odepb400 4057 7185 22390
olm100 5363 8259 58487
olm1000 7607 10314 65305
olm2000 6131 13036 82655
olm500 8570 14712 78055
olm5000 6159 9951 59863
onetone1 6117 9196 27565
onetone2 5995 9552 26960
orani678 4020 9605 40630
orsirr_1 7867 10725 78128
orsirr_2 6885 10410 86081
orsreg_1 6057 10623 77813
pcrystk02 6937 11061 96023
pcrystk03 7181 11164 77238
pct20stif 8575 13360 147359
pde225 6839 9830 76291
pde2961 5822 9626 59618
pde900 5712 11005 59797
pesa 5020 9595 28225
plat1919 5674 9394 42451
plat362 5871 9785 41822
poli 5597 12940 25930
poli_large 4907 13047 42514
pores_1 5540 8510 92000
pores_2 9585 11417 95655
pores_3 5411 9615 43232
pre2 6323 9181 46643
psmigr_1 19365 24673 511398
psmigr_2 19278 24212 492895
psmigr_3 19124 24424 613545
pwtk 8717 13634 163266
qc2534 18779 26078 545240
qc324 19047 26107 551555
qh882 4776 7867 41320
rbsa480 10794 14957 203223
rbsb480 10733 15033 203508
rdb2048 5991 10078 66213
rdb5000 6060 10335 60267
rdb968 7271 10586 77553
rgg010 4151 5371 89264
rim 17842 23004 458322
rlfprim 3824 12450 3192
rma10 9138 13984 166245
rw136 5438 9734 59169
rw496 5265 9580 42604
rw5151 4752 9096 25791
saylr1 6688 12556 82532
saylr3 5942 9260 46582
saylr4 5603 10927 41711
sherman1 37126 16439 42731
sherman2 11998 16700 223885
sherman3 4375 8820 25461
sherman4 5607 8859 26136
sherman5 4477 8945 23851
sstmodel 4282 8592 24500
steam1 7422 9830 60095
steam2 5302 9153 73867
steam3 9480 11115 69152
thermal 9011 12189 131448
tub100 6120 9800 61330
tub1000 6094 10670 60773
twotone 6812 9138 28109
vibrobox 7505 11020 79915
watt_1 4793 8275 24035
well1033 4985 8634 26304
well1850 4567 8831 26210
will57 8080 10133 78250
wm1 15850 20373 367494
wm2 16231 23154 443460
wm3 736271 667876 427230
young1c 10625 14722 60474
young2c 4935 6452 67185
young3c 4778 6114 60360
young4c 4833 5816 60940
zenios 4038 4525 30276
