Matrix ModCSR Jagged Ellpack
1138_bus 568858 685160 528541
494_bus 8369 9087 50237
662_bus 8007 9224 58207
685_bus 12086 6360 74213
abb313 12095 15581 216101
af23560 10274 11875 205197
arc130 11307 16250 345045
ash219 8230 6575 71224
ash292 7979 8397 93610
ash331 5684 9911 113888
ash608 6028 7305 78167
ash85 7200 7306 83744
ash958 6510 6765 108282
bcspwr01 5066 6175 58550
bcspwr02 6022 5901 57352
bcspwr03 10493 10796 56180
bcspwr04 22610 6916 72003
bcspwr05 5804 7157 46199
bcspwr06 6253 6455 44150
bcspwr07 6401 6255 47102
bcspwr08 5870 9025 56486
bcspwr09 9186 8438 41107
bcspwr10 4394 5943 37224
bcsstk01 6895 6998 103307
bcsstk02 20381 24361 979601
bcsstk04 11650 16038 314393
bcsstk05 7980 8383 159890
bcsstk06 9648 9653 189230
bcsstk07 9020 13725 230057
bcsstk08 7400 10548 197831
bcsstk09 5847 10804 94873
bcsstk10 9119 14505 165210
bcsstk11 8035 8401 154856
bcsstk12 8002 9596 158025
bcsstk13 8716 8941 201055
bcsstk14 11201 11923 274750
bcsstk15 12880 11359 298737
bcsstk16 7414 8870 167634
bcsstk17 8551 9795 165656
bcsstk18 6167 7134 51731
bcsstk19 7263 9155 85401
bcsstk20 5565 7416 49154
bcsstk21 6376 7230 45539
bcsstk22 6275 10217 45220
bcsstk23 7435 8365 84195
bcsstk24 12159 11408 238221
bcsstk25 7666 12617 71613
bcsstk26 8267 8912 120902
bcsstk27 50074 13540 275897
bcsstk28 18198 31174 376729
bcsstk29 12117 13762 266066
bcsstk30 12757 14160 252074
bcsstk31 9546 10568 167742
bcsstk32 10882 12313 238741
bcsstk33 25943 9955 138032
bcsstk34 17895 17667 242843
bcsstk35 15781 17665 195700
bcsstk36 11725 12442 199159
bcsstk37 15674 11108 283438
bcsstk38 21402 23717 258067
bcsstm02 13415 14822 62066
bcsstm05 6792 8468 35235
bcsstm06 4565 5415 23215
bcsstm07 9575 112349 147791
bcsstm08 5991 7167 25560
bcsstm09 7361 6215 29596
bcsstm10 9660 10214 114805
bcsstm11 5782 6568 24140
bcsstm19 5274 5705 23687
bcsstm20 6757 11478 32795
bcsstm21 39050 26800 27043
bcsstm22 4299 6238 25622
bcsstm23 5237 17581 24232
bcsstm24 5680 16287 23542
bcsstm25 11408 23393 29431
bcsstm26 4915 6379 24127
bcsstm27 40954 14926 250989
bcsstm34 15103 14017 257591
bcsstm39 8612 8866 25640
beaflw 11188 17116 156942
beause 12040 10765 140977
bfwa398 10802 18257 124622
bfwa62 11957 11517 136005
bfwa782 11236 13269 99487
bfwb398 10309 15650 62789
bfwb62 8965 8538 62378
bfwb782 10318 10062 62851
big 9788 9982 27709
blckhole 9780 16990 61903
bwm200 9590 11014 43738
bwm2000 9292 10086 50645
can_1054 10250 12102 77444
can_1072 11077 10397 65969
can_144 9778 9547 64445
can_161 7809 8523 76878
can_187 7157 8677 60045
can_229 9091 9555 63843
can_24 6555 6251 47543
can_256 10581 10701 82246
can_268 10783 11915 82168
can_292 9823 9785 61826
can_445 9385 11688 79294
can_61 8971 9718 117805
can_62 7438 7464 42869
can_634 9605 15000 78231
can_715 11292 11255 64165
can_73 7536 9070 44796
can_838 9467 11287 64347
can_96 9197 10027 77834
cavity01 16376 17211 302691
cavity03 15910 18754 284720
cavity05 17637 17798 321815
cavity07 17074 19755 284040
cavity09 59352 17461 344190
cavity10 16563 17914 334765
cavity12 16440 18262 306538
cavity14 17972 17214 282280
cavity16 18590 41897 289538
cavity18 16664 17672 285419
cavity20 16902 17611 286856
cavity22 16658 18132 282324
cavity24 16585 17641 288812
cavity26 16237 18195 288609
cdde1 9339 11107 59369
cdde2 10384 10991 73696
cdde3 9377 10612 61332
cdde4 9758 10740 61925
cdde5 10559 13135 61801
cdde6 9681 14035 61149
circuit_1 9910 9445 26178
circuit_2 20960 8856 25584
circuit_3 9897 11047 81149
circuit_4 8535 9146 27611
ck104 11111 11038 112683
ck400 10052 11679 97236
ck656 10305 11525 95849
coater1 12694 11328 81762
coater2 13005 13294 1280215
conf5_0-4x4-10 13235 17844 275729
crystk01 11775 13695 136545
crystk02 10189 12456 97103
crystk03 26547 11259 123270
crystm01 10140 10590 45853
crystm02 8689 10082 54327
crystm03 8847 9888 26473
ct20stif 12276 13119 149590
curtis54 10740 9904 93930
d_ss 7478 15474 45570
dw1024 9422 11039 62355
dw256A 11249 10936 79671
dw256B 10343 13193 80024
dw4096 10843 12232 44800
dwt_1005 11603 13132 103736
dwt_1007 12626 10935 62415
dwt_1242 9699 11231 62716
dwt_162 9150 10159 76817
dwt_193 14161 16359 116823
dwt_198 8283 8477 60322
dwt_209 8944 10426 67619
dwt_221 9698 10124 61505
dwt_234 7463 8064 43207
dwt_245 9880 10607 62062
dwt_2680 11127 11759 65965
dwt_307 10824 10098 68736
dwt_310 10749 15295 85205
dwt_346 11763 12197 79961
dwt_361 10111 9949 79332
dwt_419 11612 13050 66632
dwt_492 9477 12709 63270
dwt_503 10204 11466 81289
dwt_512 14155 11514 81862
dwt_59 8853 7440 42736
dwt_592 10350 11286 69179
dwt_607 11017 11711 62165
dwt_66 8841 8745 42777
dwt_72 6970 7251 41425
dwt_758 8061 12655 55997
dwt_869 9611 11328 90335
dwt_87 11007 9463 64206
dwt_878 10860 13081 62364
dwt_918 13687 13453 67390
dwt_992 11810 13350 79671
epb0 9609 11786 26101
epb1 12086 12272 75733
epb2 11938 14347 82851
epb3 12460 12883 62875
eris1176 20542 38415 472619
ex1 18354 19856 263407
ex10 19306 13389 80700
ex10hs 13462 14915 82909
