Matrix ModCSR Jagged Ellpack
1138_bus 1009105 2123330 1568129
494_bus 11670 9111 68524
662_bus 7575 8831 56961
685_bus 11035 12573 106677
abb313 12354 16433 221123
af23560 9841 11821 203425
arc130 11495 16719 345486
ash219 8575 9985 78382
ash292 11373 8233 171050
ash331 8654 10042 123071
ash608 8811 12231 114106
ash85 10754 11096 112240
ash958 8303 10050 106373
bcspwr01 8278 8178 79857
bcspwr02 9450 9207 83397
bcspwr03 10375 10939 77924
bcspwr04 11080 10976 109440
bcspwr05 20808 11604 73833
bcspwr06 7377 6206 58006
bcspwr07 7454 6558 46481
bcspwr08 6195 7240 52883
bcspwr09 5935 9165 34710
bcspwr10 4539 5442 35078
bcsstk01 7714 7712 104090
bcsstk02 19543 23016 925700
bcsstk04 16938 13685 410125
bcsstk05 12201 10679 173680
bcsstk06 9149 14931 190699
bcsstk07 9405 9631 188600
bcsstk08 14137 8050 175430
bcsstk09 6163 13476 112005
bcsstk10 9950 12980 182779
bcsstk11 11777 8710 155452
bcsstk12 9198 10030 153982
bcsstk13 8283 9465 168792
bcsstk14 11794 14413 359550
bcsstk15 12327 29118 266226
bcsstk16 7680 9544 159421
bcsstk17 8577 10462 198985
bcsstk18 6763 6782 68013
bcsstk19 6748 8005 85300
bcsstk20 5758 6565 46014
bcsstk21 5373 6431 67400
bcsstk22 6693 6628 43822
bcsstk23 7707 8343 88230
bcsstk24 9850 19460 345890
bcsstk25 7841 9874 71995
bcsstk26 9928 9247 164298
bcsstk27 11749 13220 250238
bcsstk28 11955 16202 251448
bcsstk29 12321 14160 320095
bcsstk30 12340 17609 306004
bcsstk31 11201 13660 166273
bcsstk32 12144 13460 215906
bcsstk33 11852 11345 140033
bcsstk34 15800 20450 269531
bcsstk35 18311 13522 280465
bcsstk36 12755 13693 198692
bcsstk37 11927 12120 270383
bcsstk38 13778 16611 302429
bcsstm02 11900 10225 36008
bcsstm05 9805 10943 39387
bcsstm06 7747 7310 25942
bcsstm07 12098 17724 141232
bcsstm08 7359 6980 24557
bcsstm09 7223 8096 24155
bcsstm10 12122 11816 115576
bcsstm11 6924 9363 25052
bcsstm19 18380 7371 24396
bcsstm20 6637 7157 23783
bcsstm21 6150 7966 24824
bcsstm22 6005 6955 26717
bcsstm23 6498 7860 26629
bcsstm24 7730 8777 25790
bcsstm25 6781 8997 34660
bcsstm26 6955 7769 24804
bcsstm27 14389 15575 240223
bcsstm34 13740 15450 171559
bcsstm39 11276 9335 26236
beaflw 11730 11990 94100
beause 11321 15338 89401
bfwa398 11811 12141 99339
bfwa62 18073 20345 181715
bfwa782 11197 13880 96533
bfwb398 10022 10439 62423
bfwb62 10909 9189 62853
bfwb782 10138 14390 86086
big 10150 10685 29448
blckhole 10639 10482 61538
bwm200 9158 11101 51290
bwm2000 11428 10722 44974
can_1054 14422 11636 94554
can_1072 11084 16974 65005
can_144 10748 9513 73017
can_161 8055 10080 78245
can_187 11004 10065 60130
can_229 9442 10307 61241
can_24 8302 7657 57010
can_256 11976 11590 82772
can_268 11412 13458 84169
can_292 10425 10837 69874
can_445 11077 10645 78841
can_61 9866 26293 143724
can_62 21646 8775 49176
can_634 10318 11767 78937
can_715 10109 10806 69903
can_73 9262 9174 49777
can_838 9695 11253 61677
can_96 9330 15949 78880
cavity01 18462 18308 319773
cavity03 17255 18579 315953
cavity05 16989 17934 503638
cavity07 16514 26702 313401
cavity09 16948 25056 319935
cavity10 17546 18808 340659
cavity12 16356 17582 277657
cavity14 16779 18104 313180
cavity16 16859 18310 280435
cavity18 16822 18130 279166
cavity20 18065 19901 335575
cavity22 16618 18470 281548
cavity24 17888 20725 288139
cavity26 16985 20722 279675
cdde1 10400 12068 62417
cdde2 9799 10794 61665
cdde3 11059 10756 61800
cdde4 9999 11398 61137
cdde5 11507 12881 62692
cdde6 9475 11370 61854
circuit_1 13100 10310 29679
circuit_2 8387 9961 25427
circuit_3 13841 10644 72968
circuit_4 9401 10217 31077
ck104 13050 11891 113539
ck400 10784 12507 96030
ck656 10299 11790 96066
coater1 12685 12037 82396
coater2 14734 14314 136415
conf5_0-4x4-10 13601 15550 243589
crystk01 12326 13725 134141
crystk02 11116 12140 97530
crystk03 10780 11738 80038
crystm01 10060 14272 78240
crystm02 9148 10349 43968
crystm03 9657 10214 26841
ct20stif 12604 13937 150401
curtis54 12590 10222 112565
d_ss 7885 7678 41024
dw1024 9962 10640 61825
dw256A 9779 10974 85981
dw256B 10178 11506 80251
dw4096 9400 10961 61210
dwt_1005 10634 23501 79241
dwt_1007 10105 14634 63886
dwt_1242 9448 13033 63106
dwt_162 10131 9838 76887
dwt_193 13046 14249 116234
dwt_198 9770 9646 61409
dwt_209 12283 10982 63979
dwt_221 11285 9412 61256
dwt_234 9045 8288 43570
dwt_245 11438 9686 61530
dwt_2680 10700 10849 62718
dwt_307 9933 14335 64243
dwt_310 14449 10936 79990
dwt_346 11661 11302 80356
dwt_361 9490 23274 78328
dwt_419 10010 10330 63572
dwt_492 11472 10932 65412
dwt_503 10580 11585 79153
dwt_512 11555 10931 81979
dwt_59 9163 9445 44793
dwt_592 11116 10925 64080
dwt_607 10105 10526 63925
dwt_66 8687 10336 54928
dwt_72 11288 13014 56554
dwt_758 9270 10635 46014
dwt_869 10545 11264 79232
dwt_87 13520 20893 70310
dwt_878 9916 13402 61687
dwt_918 44734 14083 65438
dwt_992 14993 12478 108979
epb0 12704 11292 27232
epb1 11924 12991 82338
epb2 13205 13312 62071
epb3 11441 12704 62128
eris1176 23044 23783 410269
ex1 18278 20214 261916
ex10 12374 13803 81065
ex10hs 13312 15250 99450
ex11 20319 21144 279976
ex12 13595 15003 101299
ex13 14106 16739 135766
ex14 13351 14381 136856
ex15 12479 17514 49569
ex18 12460 13559 66336
ex19 13403 13931 98302
ex2 17914 18936 278194
ex20 14702 15657 152284
ex21 15777 17302 390937
ex22 21032 23619 553786
ex23 15974 17261 191823
ex24 19094 22757 526602
ex25 17130 17146 223119
ex26 15350 16538 401997
ex28 15054 15836 203011
ex29 10173 12417 29635
ex3 17271 15293 101914
ex32 12522 15201 65429
ex33 10982 12930 45396
ex35 13586 13266 79805
ex37 11310 12063 32559
ex40 20300 19981 278764
ex5 11455 8424 91616
ex9 13678 15642 136113
fs_183_1 13402 11421 50679
fs_183_3 16234 18325 70645
fs_183_4 13969 17537 76013
fs_183_6 12028 13179 51035
fs_541_1 12973 14001 81763
fs_541_2 12170 14142 80055
fs_541_3 12270 13648 102921
fs_541_4 12325 14447 134723
fs_680_1 12682 11992 68822
