Matrix ModCSR Jagged Ellpack
1138_bus 526521 808878 837936
494_bus 8723 9468 76047
662_bus 11753 9891 88593
685_bus 13915 13625 111690
abb313 13749 11830 216188
af23560 10302 11876 202598
arc130 10432 16451 344078
ash219 9095 7038 103492
ash292 8659 7593 92818
ash331 5892 7498 118763
ash608 5839 6909 76548
ash85 7512 7119 82963
ash958 6022 7010 78045
bcspwr01 5817 5423 56031
bcspwr02 8782 10095 81872
bcspwr03 10618 12916 86227
bcspwr04 11195 10760 109215
bcspwr05 11373 7082 45947
bcspwr06 6699 6519 44917
bcspwr07 6789 6719 46417
bcspwr08 6481 6956 52930
bcspwr09 8648 6848 37688
bcspwr10 4620 7356 36606
bcsstk01 7229 7347 107204
bcsstk02 18860 47817 1376637
bcsstk04 11788 14493 306411
bcsstk05 12052 9711 163059
bcsstk06 9056 17554 194800
bcsstk07 12925 9524 191348
bcsstk08 11119 12105 175988
bcsstk09 8336 10466 94914
bcsstk10 10720 23005 187353
bcsstk11 11247 9485 157892
bcsstk12 8118 10398 155380
bcsstk13 8825 13144 169562
bcsstk14 10826 16197 271971
bcsstk15 10037 43045 262480
bcsstk16 7306 9180 154761
bcsstk17 8467 10167 185620
bcsstk18 6120 8969 52378
bcsstk19 6668 8938 85495
bcsstk20 5407 6526 46092
bcsstk21 5326 8378 52734
bcsstk22 6664 6351 49071
bcsstk23 8166 9625 84166
bcsstk24 10938 12348 206475
bcsstk25 8771 8899 72935
bcsstk26 8294 8793 110065
bcsstk27 19473 13700 252801
bcsstk28 14118 13698 320074
bcsstk29 12184 13732 268262
bcsstk30 13376 13575 252921
bcsstk31 10392 10439 166931
bcsstk32 10180 12104 215010
bcsstk33 9754 9618 138720
bcsstk34 9600 12100 204414
bcsstk35 11298 12274 195529
bcsstk36 11032 12873 196230
bcsstk37 10356 10849 255449
bcsstk38 12612 14207 257800
bcsstm02 4471 5317 22393
bcsstm05 3799 4880 21840
bcsstm06 4160 5202 22745
bcsstm07 9321 9737 132539
bcsstm08 4734 5607 23235
bcsstm09 4678 6801 23599
bcsstm10 27139 11929 115326
bcsstm11 4361 6547 43502
bcsstm19 4523 5790 23884
bcsstm20 4450 5745 22480
bcsstm21 5325 9531 24627
bcsstm22 4643 5322 23446
