Matrix CSR ModCSR Jagged Ellpack
cavity16 10292 9356 10660 59730
cavity18 9646 8366 9875 62506
cavity20 15205 10478 10689 54352
cavity22 9741 7951 11126 60947
cavity24 10036 8050 11003 58922
cavity26 9964 7988 10390 73198
cdde1 5915 4712 6005 9631
cdde2 6268 4347 7212 10489
cdde3 7183 5089 6017 10380
cdde4 6257 4773 6148 10471
cdde5 7174 6536 7953 17874
cdde6 6872 5094 5936 10566
circuit_1 8811 4509 5625 10443
circuit_2 6676 3294 5391 10381
circuit_3 7575 4627 5934 12484
circuit_4 8377 4374 6663 10753
ck104 7108 5975 6095 17083
ck400 6905 6001 16577 27865
ck656 7116 4818 6788 22290
coater1 7768 6734 7829 34004
coater2 8542 7919 12577 26398
conf5_0-4x4-10 8159 6981 8481 30430
crystk01 7935 6410 10660 29203
crystk02 6979 8408 6844 23385
crystk03 6424 4554 6475 11939
crystm01 7016 4408 6807 15933
crystm02 6644 3815 5445 10061
crystm03 6946 3827 5138 7156
ct20stif 7843 6425 8472 30705
curtis54 6282 5589 5704 37787
d_ss 4357 5877 4794 14333
dw1024 6218 4731 6122 11263
dw256A 8525 5232 8150 14100
dw256B 7267 4670 7461 11482
dw4096 6377 4355 5923 8139
dwt_1005 9241 4507 6218 10493
dwt_1007 6032 4674 6011 11271
dwt_1242 6304 4794 45773 12658
dwt_162 8578 7763 10717 14021
dwt_193 7726 6621 14760 33116
dwt_198 4796 4451 5010 10488
dwt_209 5834 5271 5867 14929
dwt_221 10195 5338 5460 13624
dwt_234 4739 4453 5011 10322
dwt_245 6736 5763 7001 15829
dwt_2680 7615 4779 6292 16410
dwt_307 7198 5599 6819 19528
dwt_310 6431 6379 6340 11730
dwt_346 6753 6604 7186 19995
dwt_361 6547 9342 8095 14965
dwt_419 8439 5695 6048 18105
dwt_492 8154 5261 5576 14098
dwt_503 6488 4642 5908 13517
dwt_512 6462 5235 6395 16681
dwt_59 4707 5246 5139 13474
dwt_592 6159 4498 5709 11260
dwt_607 6555 5307 5957 16140
dwt_66 4784 4861 5391 8806
dwt_72 4293 3207 4930 6846
dwt_758 6113 4336 5655 11959
dwt_869 6660 5070 6045 13167
dwt_87 4968 4847 5116 14409
dwt_878 7380 5155 6158 18677
dwt_918 7027 5247 6521 17405
dwt_992 7046 5385 6385 13407
epb0 8260 3930 5510 7905
epb1 7261 5523 6139 17692
epb2 7245 4360 6259 11367
epb3 7697 6202 6669 24799
eris1176 12299 9563 12919 108301
ex1 16275 8146 9906 95171
ex10 8159 5975 6572 18942
ex10hs 8323 4927 6471 17731
ex11 10900 8196 9880 37628
ex12 8611 5718 12410 30840
ex13 9914 6477 9102 22992
ex14 9574 5890 7621 26534
ex15 8126 4661 8115 11662
ex18 7968 4874 7183 13951
ex19 8004 8295 6815 18607
ex2 10795 8010 10305 40520
ex20 12030 6918 9216 27425
ex21 9352 8226 8889 32226
ex22 11714 10977 12029 65774
ex23 12431 7395 8605 39072
ex24 11850 8640 10517 42490
ex25 11085 9276 10765 33905
ex26 8896 6895 8385 36257
ex28 8514 7015 8251 31878
ex29 7039 4372 6468 11680
ex3 8263 6053 8759 25058
ex32 7977 5557 7118 17923
ex33 8498 5378 6831 13680
ex35 7793 4985 6487 13214
ex37 7685 6123 5838 14713
ex40 10491 9420 10197 70597
ex5 4154 4737 4910 18180
ex9 8991 5915 7363 22269
fs_183_1 9319 5529 6607 39422
fs_183_3 9043 6042 10086 42920
fs_183_4 6748 5535 6184 31659
fs_183_6 7152 6170 5612 66132
fs_541_1 11193 6265 7091 15601
fs_541_2 20333 4957 6801 16826
fs_541_3 9475 6029 6462 13234
fs_541_4 7672 4728 6449 12766
fs_680_1 7169 4686 6232 11211
fs_680_2 6732 4701 5897 10193
fs_680_3 6673 5290 6125 10612
fs_760_1 10530 5076 5407 8788
fs_760_2 7143 4976 6965 10179
fs_760_3 7335 4480 6782 9424
garon1 7950 7584 7109 14175
garon2 7605 5278 6585 12018
gemat1 7802 5184 6405 23576
gemat11 8589 5249 7225 21189
gemat12 8159 9200 6404 29792
gent113 6157 5468 5653 14705
goodwin 20512 11079 13304 73899
gr_30_30 6864 4631 6173 12108
graham1 12125 9319 12271 53348
gre_1107 7000 5402 5772 12431
gre_115 4616 4325 5145 12428
gre_185 6731 6243 6200 12540
gre_216a 5611 4970 5068 9204
gre_216b 5757 4730 6140 10097
gre_343 6669 5023 5424 9873
gre_512 6797 5809 5743 10651
hor_131 7598 5668 6430 13595
ibm32 5261 4618 5153 14645
illc1033 6158 5030 5160 14560
illc1850 7180 4844 5444 15100
impcol_a 4596 5152 4741 9884
impcol_b 4745 5068 5574 19804
impcol_c 4230 4380 4898 13747
impcol_d 6452 5625 5743 23528
impcol_e 8868 9033 10370 38921
jagmesh1 7079 4576 6035 11407
jagmesh2 10805 6882 10921 574246
jagmesh3 24600 6704 7760 18097
jagmesh4 5685 8283 8417 10706
jagmesh5 5326 6494 7935 9993
jagmesh6 5034 6153 7270 10515
jagmesh7 5185 7339 7398 15717
jagmesh8 7506 7654 9865 15823
jagmesh9 6645 7028 9165 13177
jgl009 4129 6463 5035 10690
jgl011 4034 5557 6216 13475
jpwh_991 5860 7991 7572 6983
lns_131 4832 14746 5780 15662
lns_3937 5073 6458 6935 11728
lns_511 4959 6462 6850 12683
lnsp3937 4380 5697 6229 9447
lnsp_131 7722 7288 8935 23871
lnsp_511 4931 10278 7578 12508
lop163 6343 15075 12156 16935
lpi_box1 3363 7161 6094 6555
lshp1009 5201 8262 7606 9456
lshp1270 5209 7929 7563 9582
lshp1561 5028 8305 8041 9517
lshp1882 5464 8282 10549 9464
lshp2233 5130 9166 8680 11853
lshp2614 20369 8613 7785 11072
lshp3025 5208 8433 9290 10166
lshp3466 4957 8157 7405 9229
lshp_265 5761 8659 7917 14612
lshp_406 5904 7250 15978 11890
lshp_577 5347 8363 7241 9506
lshp_778 5327 8366 7604 11126
lund_a 6438 11259 8173 19642
lund_b 6551 10264 14185 25139
mahindas 4490 6921 8034 7283
mcca 7074 10248 8760 30438
mcfe 9123 28423 11590 29425
meg1 4073 8558 6411 3073
mhd1280b 5905 8376 7900 30576
mhda416 8457 10876 13207 52218
mhdb416 6483 8848 7825 23906
mplate 5746 8267 8878 19918
msc00726 7720 10135 10299 42046
msc01440 5051 7983 7382 12813
msc04515 7870 7960 8350 16015
msc10848 4607 8078 7487 12534
nasa1824 5764 8720 7934 25451
nasa2910 7575 10792 9850 25992
nasa4704 6454 7826 8717 20794
nnc1374 6018 13638 8094 16982
nnc261 5806 8643 7563 27212
nnc666 5916 9245 8075 21871
nopoly 4958 7956 8349 11644
nos1 3824 7469 6620 6887
nos2 4949 7895 6967 9710
nos3 5813 7768 8468 25683
nos4 4140 6967 7008 13921
nos6 6271 8553 8582 9214
nos7 6572 9600 12388 9293
odepa400 6208 9730 9712 9169
odepb400 5105 7512 7930 4907
olm100 4109 9867 6830 10587
olm1000 5110 7815 12155 13885
olm2000 5531 8038 10263 8202
olm500 7842 18231 12855 11140
olm5000 5297 9407 7581 10087
onetone1 4972 7196 7489 13346
onetone2 5640 8289 6928 13883
orani678 4635 7273 6955 5646
orsirr_1 6106 7991 7725 10438
orsirr_2 5842 11701 8302 12896
orsreg_1 7118 8310 7456 11625
pcrystk02 5583 8229 8615 16051
pcrystk03 5208 8197 7986 11669
pct20stif 6970 9038 9700 19865
pde225 4780 8255 7512 13681
pde2961 5934 8288 9024 10735
pde900 5164 8219 8183 8596
pesa 4494 104853 7233 4367
plat1919 6233 8517 10373 9005
plat362 5194 7557 7807 11835
poli 4757 7046 6902 16697
poli_large 4272 7271 8048 11240
pores_1 4467 7480 5730 14489
pores_2 8276 8385 8600 14178
pores_3 5284 9172 7553 11609
pre2 5079 7706 7088 14149
psmigr_1 12586 15925 16208 84279
psmigr_2 11060 14443 15590 83294
psmigr_3 11308 14268 15835 87756
pwtk 6307 9080 9483 22980
qc2534 12173 17835 16344 83744
qc324 12338 24971 17162 88692
qh882 4738 6711 7999 5941
rbsa480 7665 11625 11454 42385
rbsb480 8200 11358 10371 34070
rdb2048 7013 8626 8522 18053
rdb5000 12280 8588 18923 9223
rdb968 5692 8686 8010 14598
rgg010 3587 6951 5158 13785
rim 10721 13609 15244 89425
rlfprim 3705 7827 5986 2759
rma10 6590 9416 9462 21124
rw136 4376 8305 6951 8830
rw496 4427 8563 7235 7871
rw5151 4906 7792 7382 8315
saylr1 5087 8100 7751 9733
saylr3 5482 8094 6930 7882
saylr4 5297 8072 11535 7796
sherman1 5743 7769 7507 15242
sherman2 7904 10668 10974 30741
sherman3 6505 7166 8025 7522
sherman4 4551 18332 7003 8726
sherman5 4380 7529 10209 4433
sstmodel 4534 8660 6795 9490
steam1 5017 7765 7255 7822
steam2 5042 7390 7390 9396
steam3 7585 8669 10591 17140
thermal 6609 8635 8668 16259
tub100 3675 7985 7234 8835
tub1000 4935 12147 7986 8366
twotone 7154 9782 7905 16396
vibrobox 5703 8492 8505 23345
watt_1 3890 7275 6618 5006
well1033 4699 7785 6885 14433
well1850 4375 7810 9530 12563
will57 4635 7470 6369 17039
wm1 10834 13906 13358 93717
wm2 10489 14210 13954 65064
wm3 1035173 1033910 1794755 59239
young1c 9783 28055 33519 10340
young2c 4682 4334 5037 12526
young3c 5110 3965 5357 10656
young4c 3902 4039 7677 13119
zenios 3560 4080 4856 16715
