Matrix CSR ModCSR Jagged Ellpack
1138_bus 66302 7536371 389516 89531
494_bus 6261 5482 7621 13528
662_bus 6289 4932 7378 9241
685_bus 7489 6666 7558 14812
abb313 7090 6389 8450 47051
af23560 7200 6980 8560 19825
arc130 7412 7540 11255 78794
ash219 6637 7081 6435 18315
ash292 8114 7060 7225 14545
ash331 6704 7009 7772 29144
ash608 4967 6795 5864 22108
ash85 7312 6882 9013 16792
ash958 6969 6522 8823 22201
bcspwr01 6976 5522 7704 13517
bcspwr02 6863 23105 7340 16356
bcspwr03 22030 5966 7907 11832
bcspwr04 5899 5581 5776 18463
bcspwr05 7240 5353 6198 11457
bcspwr06 5256 4259 8918 12641
bcspwr07 6175 5999 6251 18220
bcspwr08 5081 20100 6176 16191
bcspwr09 4897 5854 6399 11735
bcspwr10 5262 3734 4979 7622
bcsstk01 4719 5855 6307 19263
bcsstk02 12391 12018 19378 85390
bcsstk04 8043 10098 9042 41974
bcsstk05 9174 8262 9822 40654
bcsstk06 6640 7666 12300 26313
bcsstk07 6528 8494 7807 35072
bcsstk08 8134 6989 6957 52418
bcsstk09 5442 5060 8031 16819
bcsstk10 24288 6980 8651 23327
bcsstk11 5718 7844 8168 27170
bcsstk12 6116 7408 6997 25523
bcsstk13 6928 6199 7343 142359
bcsstk14 7076 7115 18061 39516
bcsstk15 8171 6984 10954 49234
bcsstk16 8779 5540 7034 25594
bcsstk17 7020 5929 8698 73604
bcsstk18 5457 4974 6235 22845
bcsstk19 7665 5981 6905 13012
bcsstk20 5170 5073 6045 10541
bcsstk21 4915 4519 6495 11611
bcsstk22 7342 7965 8760 9939
bcsstk23 5968 7247 7326 18993
bcsstk24 8030 7857 9211 31524
bcsstk25 7128 5651 6482 31183
bcsstk26 6516 7461 7880 29616
bcsstk27 8125 8335 9633 37079
bcsstk28 7672 8790 9414 47309
bcsstk29 8923 8975 9450 66195
bcsstk30 8491 11208 10082 57013
bcsstk31 7533 6772 7965 34709
bcsstk32 7546 7204 11159 120436
bcsstk33 6430 6097 7693 19061
bcsstk34 6948 6718 8455 43599
bcsstk35 7309 7229 11823 28556
bcsstk36 7430 7676 8649 38526
bcsstk37 7170 6539 8957 28805
bcsstk38 8620 8198 10510 91461
bcsstm02 3550 3800 4583 4845
bcsstm05 3352 2921 4380 4259
bcsstm06 5380 3762 4932 5328
bcsstm07 7923 9256 8141 32766
bcsstm08 3749 21882 5923 38090
bcsstm09 4491 3827 5081 7235
bcsstm10 7887 6558 9780 24279
bcsstm11 4276 4389 5552 6825
bcsstm19 4918 3954 6521 7862
bcsstm20 3568 4005 4530 5108
bcsstm21 4365 4311 5061 6552
bcsstm22 3700 4243 5146 4958
bcsstm23 6635 4086 6911 8729
bcsstm24 4608 4016 6716 7125
bcsstm25 6881 4222 5887 9852
bcsstm26 4326 14237 5509 6935
bcsstm27 9754 8040 14735 38215
bcsstm34 9651 7599 9435 44226
bcsstm39 8324 5106 6037 7813
beaflw 11830 10221 7402 45158
beause 9759 5602 9027 28863
bfwa398 11504 6312 7443 23686
bfwa62 10443 6717 10719 28471
bfwa782 8535 5535 7503 16085
bfwb398 7745 11690 6888 12818
bfwb62 5141 6110 5411 17752
bfwb782 7293 5824 6648 9922
big 7189 4913 8190 15180
blckhole 6948 5756 6531 10295
bwm200 9289 5312 7435 12466
bwm2000 8456 7057 6549 13048
can_1054 8861 5573 7059 32356
can_1072 24924 6768 7802 29840
can_144 9134 9842 6970 31896
can_161 5831 8989 6948 18595
can_187 27122 5535 5579 12374
can_229 5024 32592 5615 11667
can_24 6663 5454 6575 16041
can_256 7018 7092 6772 30766
can_268 7146 5508 6714 36138
can_292 7115 5750 6125 14920
can_445 6383 5584 5858 13957
can_61 5956 5814 6398 49994
can_62 6148 5565 6799 17259
can_634 9085 5408 6224 12701
can_715 6666 6490 5762 12260
can_73 7389 5850 38524 16055
can_838 7408 5019 6959 13721
can_96 5253 5390 6445 12119
cavity01 10240 8685 9971 90125
cavity03 9608 8138 10007 72835
cavity05 10144 12510 10151 98797
cavity07 10870 8030 10894 56694
cavity09 9835 8572 10993 56950
cavity10 10655 8563 9944 83665
cavity12 9564 7667 9922 193688
cavity14 10084 9248 11069 85544
