Matrix CSR ModCSR Jagged Ellpack
1138_bus 64241 1208830 76630 67462
494_bus 6270 5180 7307 12290
662_bus 6493 5063 6905 8915
685_bus 7447 5703 7431 15219
abb313 5027 4761 8141 27862
af23560 6974 6198 8092 39095
arc130 7145 6598 11299 109904
ash219 5044 6195 5428 17354
ash292 8872 5290 6393 14072
ash331 4545 4824 5407 20466
ash608 4412 4727 5254 15764
ash85 5154 5098 5964 11940
ash958 4959 4186 6009 16359
bcspwr01 5013 4131 5468 8440
bcspwr02 5923 17636 7165 14759
bcspwr03 21255 5882 7439 10990
bcspwr04 17757 5867 6890 18798
bcspwr05 4529 5091 7110 10306
bcspwr06 6395 4444 5688 8698
bcspwr07 6642 5334 5299 14320
bcspwr08 4980 4551 5889 11326
bcspwr09 4311 4322 5171 6601
bcspwr10 3870 3407 4795 5937
bcsstk01 6097 4868 7676 14847
bcsstk02 16892 18006 14831 85176
bcsstk04 8635 8228 13289 38518
bcsstk05 5590 5662 6604 27525
bcsstk06 8642 6078 9842 25046
bcsstk07 6195 7531 7438 32178
bcsstk08 4877 4998 6564 71076
bcsstk09 4377 4431 6086 14011
bcsstk10 24393 7867 7453 21000
bcsstk11 5440 5438 6563 24931
bcsstk12 6222 5221 7278 24795
bcsstk13 6251 14963 7904 42753
bcsstk14 6964 6794 13714 36000
bcsstk15 30716 6765 16219 36300
bcsstk16 5467 5215 6552 21965
bcsstk17 6715 5953 7519 55721
bcsstk18 4435 4830 9680 26368
bcsstk19 5196 5005 6270 11472
bcsstk20 4560 4670 5735 8665
bcsstk21 5433 4109 5596 7640
bcsstk22 6475 4595 7174 8831
bcsstk23 5274 5012 7009 14231
bcsstk24 6759 7505 10355 64056
bcsstk25 21023 5604 6149 25111
bcsstk26 6003 5373 6938 21538
bcsstk27 8699 7286 9247 72930
bcsstk28 7590 7514 9679 35965
bcsstk29 8226 7520 9735 60151
bcsstk30 7906 7956 9536 44428
bcsstk31 6520 6344 7931 32014
bcsstk32 7509 6831 8835 36243
bcsstk33 6151 6392 7640 17426
bcsstk34 6446 6562 7868 43427
bcsstk35 8145 6800 8594 27930
bcsstk36 7455 7753 10013 36020
bcsstk37 6925 6037 7771 28142
bcsstk38 8360 7305 9420 48971
bcsstm02 3296 3570 4628 4800
bcsstm05 4219 3075 4511 4640
bcsstm06 3349 3736 4524 5180
bcsstm07 8372 5817 8415 31330
bcsstm08 4175 25661 5554 31726
bcsstm09 4234 3906 5627 5234
