Matrix ModCSR Jagged Ellpack
hor_131 11931 12999 79365
ibm32 7103 6421 50605
illc1033 9605 11243 28070
illc1850 13474 14646 28450
impcol_a 12176 24000 45300
impcol_b 16409 17443 263248
impcol_c 17333 16097 66367
impcol_d 14322 12366 47691
impcol_e 17391 18610 141642
jagmesh1 14855 16435 58154
jagmesh2 17878 18529 1063782
jagmesh3 17707 11948 85833
jagmesh4 12734 12961 60919
jagmesh5 14294 13390 60180
jagmesh6 12452 17459 59611
jagmesh7 11702 12210 61587
jagmesh8 15788 18340 81263
jagmesh9 14064 12228 42454
jgl009 7557 5654 65838
jgl011 4866 5315 78166
jpwh_991 10103 10886 35503
lns_131 11640 9195 43360
lns_3937 11039 12377 65945
lns_511 13362 12546 67405
lnsp3937 11041 15557 25935
lnsp_131 12351 10166 61070
lnsp_511 11565 12729 26416
lop163 12852 13015 95248
lpi_box1 11328 10533 25584
lshp1009 11897 13066 59187
lshp1270 18469 12906 62973
lshp1561 12018 25205 59926
lshp1882 18330 13098 61469
lshp2233 11567 12529 43436
lshp2614 12025 12600 43187
lshp3025 30165 13034 43546
lshp3466 11309 17042 43355
lshp_265 12178 11182 60069
lshp_406 12017 12512 60252
lshp_577 16645 14413 59327
lshp_778 12189 12903 47076
lund_a 13427 15400 130354
lund_b 13334 14007 130488
mahindas 10016 11351 24675
mcca 15110 15007 114345
mcfe 19522 19583 269345
meg1 10929 15694 3434
mhd1280b 13391 13571 81085
mhda416 18302 19790 260485
mhdb416 12241 12022 44011
mplate 13446 15121 112112
msc00726 15977 16628 167375
msc01440 12145 18946 43630
msc04515 18316 15053 87266
msc10848 12094 13332 60367
nasa1824 17445 14321 85831
nasa2910 16964 37692 259035
nasa4704 13063 14123 96575
nnc1374 13460 14274 63174
nnc261 13209 12775 80283
nnc666 13480 13880 81005
nopoly 11546 12750 26730
nos1 10508 10383 41664
nos2 11198 12463 42419
nos3 16217 20832 96476
nos4 10958 11528 61572
nos6 10602 11952 43794
nos7 11305 11824 42587
odepa400 10742 10986 41894
odepb400 7541 7925 22549
olm100 14268 10186 58454
olm1000 12095 14558 61670
olm2000 12851 13177 62108
olm500 11493 12914 59160
olm5000 11616 12880 59154
onetone1 12422 13040 27331
onetone2 12057 12765 31663
orani678 10109 11967 24103
orsirr_1 12962 19553 78565
orsirr_2 13007 13535 77552
orsreg_1 11933 13983 76892
pcrystk02 13135 14161 96993
pcrystk03 12493 13945 77547
pct20stif 14434 18131 148911
pde225 11725 11562 77722
pde2961 12193 12425 60412
pde900 12157 12716 63813
pesa 11565 11388 24236
plat1919 11913 12555 42739
plat362 11854 12993 43592
poli 11255 13915 26833
poli_large 11337 13365 42016
pores_1 10367 9844 91975
pores_2 13421 14167 94410
pores_3 11758 12958 43009
pre2 20263 16783 27145
psmigr_1 25512 28261 515874
psmigr_2 24275 36684 493331
psmigr_3 25778 27839 517325
pwtk 14408 19102 148715
qc2534 25265 28912 545331
qc324 26208 33972 551080
qh882 12670 18528 46419
rbsa480 17255 17650 204921
rbsb480 16322 18030 201751
rdb2048 12089 14526 66600
rdb5000 14468 14200 61054
rdb968 14955 14967 78203
rgg010 9025 6550 90120
rim 24086 25499 471320
rlfprim 9941 17265 3438
rma10 17963 16724 164691
rw136 11533 11110 71052
rw496 10466 19692 42821
rw5151 10711 13512 27611
saylr1 18048 12843 79635
saylr3 11810 13651 41729
saylr4 12195 13488 41877
sherman1 12223 13423 43831
sherman2 27704 19135 223427
sherman3 10788 13435 25431
sherman4 11694 12620 25857
sherman5 10789 11946 24723
sstmodel 11210 14030 25271
steam1 12830 12789 43583
steam2 14905 12876 42689
steam3 11118 11589 60715
thermal 14489 16149 157570
tub100 11075 12153 69962
tub1000 12385 13370 61032
twotone 12531 13857 28043
vibrobox 15135 14088 80039
watt_1 10779 11330 23912
well1033 10513 12542 26033
well1850 11858 13382 29293
will57 12248 12668 78348
wm1 23249 24630 369730
wm2 23816 25358 409286
wm3 925109 973426 412866
young1c 32005 40270 62073
young2c 6875 13312 59898
young3c 6852 10359 62202
young4c 6671 9897 61457
zenios 6086 8789 28653
