Matrix ModCSR Jagged Ellpack
1138_bus 589245 725794 724912
494_bus 8750 8855 76266
662_bus 10885 8277 57933
685_bus 13100 12460 109297
abb313 11876 11230 201774
af23560 9373 11473 205151
arc130 10826 15692 343589
ash219 9185 6439 106556
ash292 7783 7825 94253
ash331 5557 6467 85937
ash608 6022 7126 77169
ash85 7655 6832 84428
ash958 5980 7070 78771
bcspwr01 5870 8686 53066
bcspwr02 17320 8886 97330
bcspwr03 12467 10497 84117
bcspwr04 11140 6680 71525
bcspwr05 5938 6061 46070
bcspwr06 6136 6074 44701
bcspwr07 5972 6510 46692
bcspwr08 5788 6324 54039
bcspwr09 6208 6121 35666
bcspwr10 4780 6575 40357
bcsstk01 9472 7771 114380
bcsstk02 24785 24158 846565
bcsstk04 32758 13292 418624
bcsstk05 8881 9073 165015
bcsstk06 9219 9844 195380
bcsstk07 9768 9523 197218
bcsstk08 8033 8736 181977
bcsstk09 6889 12205 97076
bcsstk10 9193 13959 165519
bcsstk11 8198 9218 154701
bcsstk12 8943 8666 175321
bcsstk13 9521 11711 178751
bcsstk14 10666 11360 266539
bcsstk15 10289 17412 267916
bcsstk16 9198 8195 166133
bcsstk17 8388 9676 242931
bcsstk18 6568 6779 60835
bcsstk19 6924 7439 92211
bcsstk20 5750 7453 44809
bcsstk21 8821 27461 44295
bcsstk22 6642 9836 44165
bcsstk23 26628 8198 114108
bcsstk24 10562 17443 286819
bcsstk25 7684 7783 132041
bcsstk26 8372 8837 105770
bcsstk27 12320 13130 251559
bcsstk28 12706 13128 250825
bcsstk29 17359 34556 265686
bcsstk30 16973 22551 367830
bcsstk31 15868 19258 179682
bcsstk32 14095 13716 213822
bcsstk33 10046 11450 135673
bcsstk34 12580 12180 206074
bcsstk35 13400 13115 195817
bcsstk36 12619 13884 197341
bcsstk37 11256 12263 263040
bcsstk38 13682 15391 255346
bcsstm02 5142 5441 22373
bcsstm05 4711 5716 22311
bcsstm06 5491 5985 22501
bcsstm07 11105 11486 132178
bcsstm08 6106 7380 23290
bcsstm09 6040 7248 23575
bcsstm10 11472 11326 115991
bcsstm11 6759 8519 26131
bcsstm19 6926 6835 23587
bcsstm20 5734 6411 23031
bcsstm21 6220 8747 25052
bcsstm22 5028 5364 22455
bcsstm23 6369 8358 26740
bcsstm24 6490 8227 24120
bcsstm25 6560 9135 27837
bcsstm26 6333 7387 23758
bcsstm27 16198 18247 238659
bcsstm34 13686 16350 177092
bcsstm39 11687 14320 28820
beaflw 11770 12161 93807
beause 12051 11351 82181
bfwa398 11318 11660 98071
bfwa62 12185 11009 135263
bfwa782 12604 13857 125770
bfwb398 13752 15433 76344
bfwb62 10991 11117 66080
bfwb782 13362 11100 61431
big 10662 15495 39297
blckhole 14195 11550 87494
bwm200 7830 8577 43233
bwm2000 13846 11138 84076
can_1054 10727 11112 68861
can_1072 10768 11758 64123
can_144 12610 10145 92684
can_161 9014 31808 77755
can_187 12179 14914 87692
can_229 9414 10257 84030
can_24 9936 9683 68035
can_256 15879 20136 111349
can_268 18590 12633 104347
can_292 13605 15432 89161
can_445 13240 21259 110844
can_61 15683 16938 141193
can_62 15093 8111 48682
can_634 14245 14460 78980
can_715 13263 11348 63293
can_73 12061 11649 59629
can_838 9595 15666 61797
can_96 9028 10843 79439
cavity01 25465 26309 290228
cavity03 23417 18789 279194
cavity05 17342 17989 438659
cavity07 16778 18862 353027
cavity09 17008 19493 293599
cavity10 18573 20603 345898
cavity12 16320 18430 314673
cavity14 18351 17548 500880
cavity16 68662 19531 280777
cavity18 17188 18381 280768
cavity20 16776 17316 283063
cavity22 16219 17759 312124
cavity24 16240 26253 279998
cavity26 17600 17534 279032
cdde1 9329 13506 61571
cdde2 12571 11153 61465
cdde3 11098 11518 61586
cdde4 8812 11119 61454
cdde5 10795 12297 63132
cdde6 15140 15232 68953
circuit_1 9016 9465 26634
circuit_2 7723 25149 36735
circuit_3 11077 12098 102669
circuit_4 8628 9382 28111
ck104 10863 10984 113595
ck400 9823 14463 96093
ck656 10584 11346 96988
coater1 11871 15054 98292
coater2 12896 19800 183210
conf5_0-4x4-10 15500 15329 221397
crystk01 11970 13267 132639
crystk02 10259 11620 95834
crystk03 10178 12269 79308
crystm01 9645 11315 76043
crystm02 8996 9509 44068
crystm03 8262 10001 26612
ct20stif 12745 13255 148922
curtis54 10275 10390 108535
d_ss 7113 10162 40911
dw1024 9448 11480 93182
dw256A 9417 12185 88231
dw256B 9122 16018 79058
dw4096 8911 10755 63971
dwt_1005 1034360 16740 113005
dwt_1007 10762 48868 282007
dwt_1242 44320 566451 192832
dwt_162 74785 46023 3030770
dwt_193 50887 53777 335517
dwt_198 80271 46175 334546
dwt_209 41473 56863 210377
dwt_221 28410 41931 124027
dwt_234 49008 72089 129007
dwt_245 41513 68280 217015
dwt_2680 51005 46500 76539
dwt_307 12926 19756 67479
dwt_310 11317 12512 77647
dwt_346 12785 13009 91963
dwt_361 11119 12440 78770
dwt_419 11595 12222 62260
dwt_492 11486 12390 63255
dwt_503 16495 13600 85556
dwt_512 17378 15519 118424
dwt_59 11942 25659 101958
dwt_592 40930 600281 139919
dwt_607 13095 48955 64954
dwt_66 34863 34920 138810
dwt_72 30690 32555 96966
dwt_758 30472 37716 222697
dwt_869 31462 56615 165255
dwt_87 34337 37503 394064
dwt_878 35833 56244 171549
dwt_918 19391 33055 125435
dwt_992 92456 5605802 752319
epb0 13512 50591 36902
epb1 11336 12362 62956
epb2 16272 11925 190099
epb3 12780 12738 77275
eris1176 20599 23982 412661
ex1 17296 23109 356793
ex10 13193 13550 87370
ex10hs 12952 12260 81189
ex11 21334 22921 280772
ex12 13004 20261 166375
ex13 13785 17234 161522
ex14 13717 15350 98672
ex15 10962 13500 44669
ex18 11981 12154 61805
ex19 12878 13593 100685
ex2 17829 23667 278939
ex20 14993 16109 152288
ex21 16462 16958 189581
ex22 19935 22279 351774
ex23 15683 16549 186971
ex24 18880 19416 295508
ex25 16513 18124 222800
ex26 18831 15258 162819
ex28 14713 14664 169375
ex29 9994 15194 29403
ex3 15162 14378 119085
ex32 11924 11890 63790
ex33 10577 11519 45267
ex35 12063 12895 80472
ex37 11032 11486 26064
ex40 20637 19667 278342
ex5 7415 6763 76446
ex9 12860 18399 115040
fs_183_1 11996 12020 50308
fs_183_3 13365 12401 70246
fs_183_4 11376 11365 72010
fs_183_6 11064 11667 49107
fs_541_1 11774 12594 79645
fs_541_2 11842 12453 80176
fs_541_3 11790 13265 79627
fs_541_4 11659 13025 79079
fs_680_1 10466 12150 61805
fs_680_2 11097 12421 60383
fs_680_3 11101 16621 61963
fs_760_1 10309 12286 44641
fs_760_2 10586 10990 47128
fs_760_3 10737 12543 43895
garon1 12917 13869 96772
garon2 11496 13037 149157
gemat1 11764 12957 71543
gemat11 13437 12395 64661
gemat12 12024 13362 64679
gent113 9568 9051 43722
goodwin 22784 25153 456487
gr_30_30 10585 12529 62800
graham1 20996 22256 383378
gre_1107 12659 12585 62476
gre_115 8555 8684 60543
gre_185 11157 11106 78172
gre_216a 11043 10481 60885
gre_216b 9786 9694 59766
gre_343 11613 12604 61546
gre_512 15115 12261 61007
