Matrix CSR ModCSR Jagged Ellpack
1138_bus 77271 632717 80598 65325
494_bus 6417 5125 7160 12812
662_bus 6273 5172 7383 8763
685_bus 9055 6246 7800 15115
abb313 7595 7563 8660 37156
af23560 6846 6564 8537 18115
arc130 7449 6691 11139 75290
ash219 4722 6074 6127 18774
ash292 7622 5620 6509 13900
ash331 5260 4812 5904 28024
ash608 5503 4576 5533 15266
ash85 4661 5174 5649 11085
ash958 7746 4687 5735 15289
bcspwr01 4400 4866 4844 8601
bcspwr02 5432 21869 7035 14696
bcspwr03 15443 5677 8637 11643
bcspwr04 7327 5935 7359 18325
bcspwr05 5068 5356 5825 10642
bcspwr06 5514 4654 5438 8767
bcspwr07 4814 4383 5605 10034
bcspwr08 5535 4283 5603 11460
bcspwr09 4823 6080 5991 9644
bcspwr10 5250 3544 5402 4766
bcsstk01 4380 5032 5829 16786
bcsstk02 12116 11684 22394 103955
bcsstk04 7824 12832 9575 38874
bcsstk05 6417 7526 7969 27613
bcsstk06 9484 6142 12643 25031
bcsstk07 6433 8723 7320 35518
bcsstk08 5318 7470 8681 47880
bcsstk09 5254 5111 7839 14463
bcsstk10 27115 7062 13808 23835
bcsstk11 5674 6837 7489 25726
bcsstk12 5725 5744 7344 24644
bcsstk13 6385 5856 9360 23586
bcsstk14 7540 6923 13519 37576
bcsstk15 11206 6579 10083 35206
bcsstk16 5737 5631 7640 52388
bcsstk17 5750 6120 7759 64124
bcsstk18 5331 4500 10570 21883
bcsstk19 5369 5192 7240 11676
bcsstk20 4557 4929 6174 8882
bcsstk21 5553 4532 6447 9569
bcsstk22 4385 4875 5680 9070
bcsstk23 6214 5498 7388 14314
bcsstk24 7203 7617 8765 31467
bcsstk25 8790 5966 7263 25245
bcsstk26 6298 5713 6767 20735
bcsstk27 7751 12458 9849 46879
bcsstk28 7707 10068 10200 45292
bcsstk29 8566 7898 9930 61183
bcsstk30 9618 7702 9979 44137
bcsstk31 7245 7151 7817 31826
bcsstk32 7315 7095 8593 35972
bcsstk33 6317 6717 7814 17305
bcsstk34 6551 6787 8360 40287
bcsstk35 7595 7780 9078 27907
bcsstk36 7340 6663 9116 36215
bcsstk37 6815 6465 8013 28897
bcsstk38 7948 7860 9712 44406
bcsstm02 2986 3836 4019 4060
