Matrix CSR ModCSR Jagged Ellpack
1138_bus 86705 1097601 71620 40876
494_bus 4875 4541 7218 13330
662_bus 6106 5151 7215 9031
685_bus 7001 5877 7586 14850
abb313 7119 6614 8292 37326
af23560 6960 7491 8139 18223
arc130 9716 7430 11796 75743
ash219 6406 5610 7451 18317
ash292 7498 5551 6353 13793
ash331 5003 4636 5894 19798
ash608 5006 5094 5609 15297
ash85 5660 5073 5991 11270
ash958 6805 5923 8375 23133
bcspwr01 5760 5994 6631 12252
bcspwr02 4230 15542 4581 10092
bcspwr03 18971 5440 7443 7296
bcspwr04 5233 5439 6045 12415
bcspwr05 4430 4610 6917 10645
bcspwr06 5213 4378 5994 9510
bcspwr07 4947 4954 7188 9987
bcspwr08 5215 4195 7215 11134
bcspwr09 5427 5650 5433 8022
bcspwr10 5005 3757 5290 5700
bcsstk01 7245 5119 6669 16044
bcsstk02 12148 13352 16150 84390
bcsstk04 10757 23604 9745 39115
bcsstk05 6421 5558 7996 28803
bcsstk06 6775 6422 12277 25160
bcsstk07 6099 6975 7415 25214
bcsstk08 6725 5026 7198 61288
bcsstk09 4729 4491 40754 14118
bcsstk10 29146 5639 7479 21014
bcsstk11 6515 5483 6941 24763
bcsstk12 5576 5557 6782 25470
bcsstk13 6229 5803 7753 24227
bcsstk14 20233 6949 10477 35295
bcsstk15 8947 6312 9451 49234
bcsstk16 5552 5362 6980 23265
bcsstk17 5888 5938 7675 62488
bcsstk18 5278 4836 6474 21532
bcsstk19 6090 5230 8196 12436
bcsstk20 4365 4360 5841 9001
bcsstk21 5128 5530 5810 7675
bcsstk22 5204 5856 6673 9031
bcsstk23 6316 5025 6668 14887
bcsstk24 6998 7139 8446 49765
bcsstk25 6684 8935 6863 32210
bcsstk26 6010 5573 8540 21618
bcsstk27 7702 7451 10668 36665
bcsstk28 8005 7286 9604 36300
bcsstk29 11300 7639 11480 71965
bcsstk30 7835 24384 9867 43942
bcsstk31 6679 6462 8090 32082
bcsstk32 8850 7144 9060 35654
bcsstk33 6090 6066 7732 17212
bcsstk34 7270 6364 8009 84987
bcsstk35 7090 7349 8804 27637
bcsstk36 7357 6945 9019 43341
bcsstk37 6595 6335 8013 30163
bcsstk38 7726 12940 9665 43888
bcsstm02 3471 3490 4070 3876
bcsstm05 3231 2783 4134 4216
bcsstm06 3838 3626 4531 4661
bcsstm07 7854 6346 7979 26037
bcsstm08 4066 16535 5286 30397
bcsstm09 4179 3923 5691 5352
bcsstm10 6622 6441 8335 21937
bcsstm11 4435 4517 5838 5989
bcsstm19 4598 4758 5393 5289
bcsstm20 4770 4245 5951 6088
bcsstm21 4630 6341 5895 6319
bcsstm22 4188 3626 5357 4828
bcsstm23 4723 4444 5821 5826
bcsstm24 4793 5936 7947 5555
bcsstm25 8518 4245 5360 5311
bcsstm26 5690 11536 5195 5729
bcsstm27 8934 8546 16995 37033
bcsstm34 9462 8077 10455 43608
bcsstm39 6462 4242 6337 5451
beaflw 8373 6152 8638 45282
beause 7891 6042 6923 19094
bfwa398 9008 6880 7053 17701
bfwa62 10483 7380 7140 26297
bfwa782 8080 6141 7177 15438
bfwb398 7249 5204 6504 9281
bfwb62 5715 5788 6349 18372
bfwb782 8236 4939 7035 9595
big 7734 5583 8043 16803
blckhole 7661 5921 7481 16243
bwm200 5514 4621 5932 7571
bwm2000 6615 5233 6382 8044
can_1054 8015 6996 7036 25851
can_1072 7725 6490 7180 23906
can_144 5209 5560 6348 21141
can_161 6176 4573 7205 24745
can_187 27257 4551 6438 11680
can_229 6970 33423 6916 13035
can_24 4432 3562 5916 11330
can_256 8587 6291 7510 25273
can_268 8073 5502 6703 23389
can_292 8606 4755 6572 14644
can_445 8142 6125 7449 12794
can_61 6421 5515 6374 34983
can_62 4242 4050 5025 10708
can_634 6865 4584 5993 20865
can_715 7587 5007 7709 13286
can_73 4400 4221 5145 10665
can_838 6120 4406 8450 11080
can_96 4340 4181 5539 11370
cavity01 9674 8997 20409 58366
cavity03 9360 7855 10684 58138
cavity05 9965 10035 20552 54174
cavity07 11853 7672 10089 52472
cavity09 9694 8827 10196 70791
cavity10 10855 9791 9843 52768
cavity12 26912 7812 9952 62843
cavity14 27668 7828 16553 52091
cavity16 9534 7645 10080 58011
cavity18 9367 7968 12165 52858
cavity20 14985 8554 10006 52356
cavity22 9607 8641 11238 62687
cavity24 9604 7961 9879 52843
cavity26 9428 7671 10097 53213
cdde1 6934 5204 6871 9317
cdde2 6421 4371 6818 10820
cdde3 5762 4484 6266 9832
cdde4 5784 4365 5933 8974
cdde5 6968 5547 7258 10049
cdde6 5934 4584 5899 8835
circuit_1 6115 3937 5349 8500
circuit_2 5582 3408 5229 5602
circuit_3 7170 5536 5765 13168
circuit_4 6082 3900 5272 10044
ck104 6082 5484 6974 16744
ck400 8391 4853 6612 11665
ck656 6498 4777 6813 11934
coater1 8542 6380 7128 19849
coater2 9280 6535 7637 30273
conf5_0-4x4-10 7869 7072 9704 28521
crystk01 7121 6449 7481 28519
crystk02 6545 4699 6666 15615
crystk03 7093 4660 6372 11912
crystm01 5784 5453 6551 11098
crystm02 5910 3967 5684 7987
crystm03 6118 5417 5242 6382
ct20stif 7781 18024 7675 19696
curtis54 5252 7968 7198 27901
d_ss 3800 3785 4404 9683
dw1024 6256 4189 5923 8505
dw256A 6790 4668 6270 9915
dw256B 7155 4720 6269 10465
dw4096 6088 4280 6233 8296
dwt_1005 6379 5175 6463 11313
dwt_1007 5747 4226 5940 10508
dwt_1242 7590 4114 6094 12070
dwt_162 5270 5026 6455 10930
dwt_193 7775 5581 8000 22353
dwt_198 5282 4624 5719 10704
dwt_209 5264 4914 5835 13954
dwt_221 10654 5101 6245 12238
dwt_234 5389 3725 6087 10595
dwt_245 11672 6129 7832 14766
dwt_2680 7511 5896 6662 13782
dwt_307 7575 5226 7006 13525
dwt_310 7502 4796 6324 10891
dwt_346 8127 5675 6693 15981
dwt_361 7314 5083 6942 10636
dwt_419 13530 5061 5932 12824
dwt_492 8080 7452 11043 15585
dwt_503 8128 4896 6194 10705
dwt_512 8288 5594 7179 17297
dwt_59 4701 4647 5468 9702
dwt_592 6654 7681 6425 10687
dwt_607 6729 4690 6200 10380
dwt_66 4485 4351 5172 8135
dwt_72 3912 3085 4687 6579
dwt_758 6175 4053 5978 10596
dwt_869 6536 4816 6475 11318
dwt_87 8618 5570 6213 17490
dwt_878 7373 4512 6320 10922
dwt_918 7278 5531 6595 15862
dwt_992 7617 4890 16465 11097
epb0 6600 3743 4986 5719
epb1 7151 4962 6953 10837
epb2 7075 4477 6114 17827
epb3 6825 4478 6415 11666
eris1176 12235 9600 13115 80906
ex1 9727 8078 9878 52706
ex10 7762 4945 7253 17506
ex10hs 7427 5068 6764 17490
ex11 10567 8027 17290 36163
ex12 8878 6185 7834 24692
ex13 9875 6701 10466 27376
ex14 8528 7456 10787 20893
ex15 9540 5245 18818 13662
ex18 9370 5670 8387 13457
ex19 7730 5427 6896 17945
ex2 10277 37434 10342 52560
ex20 8741 6861 8583 26080
ex21 9320 6692 8670 40285
ex22 12893 9308 13895 63480
ex23 14007 8067 9388 32834
ex24 10675 8986 12210 41154
ex25 15384 7588 9324 33146
ex26 9104 8658 7837 39460
ex28 11275 7574 8209 37137
ex29 6512 3825 5317 8129
ex3 7675 5171 7869 18862
ex32 11984 8902 15617 36833
ex33 7052 4002 6074 10706
ex35 7854 4963 6651 12150
ex37 7330 4400 5284 10387
ex40 11575 8067 10367 41478
ex5 4210 4497 5145 18005
ex9 7795 5636 10265 22090
fs_183_1 6460 4589 6604 29167
fs_183_3 6788 4765 5565 28784
fs_183_4 6853 4595 5892 28503
fs_183_6 5592 4423 5631 29131
fs_541_1 7059 4589 6265 11525
fs_541_2 7186 4616 6166 11750
fs_541_3 7014 4768 6779 17161
fs_541_4 7774 4848 6887 12096
fs_680_1 6683 4396 6056 9160
fs_680_2 8260 4439 6516 11069
fs_680_3 6396 4663 5950 9694
fs_760_1 7224 3982 5542 7881
fs_760_2 6759 6231 5644 8116
fs_760_3 8144 3865 5360 7590
garon1 7617 6605 6707 13143
garon2 7705 6503 6431 10771
gemat1 8290 5608 8328 20246
gemat11 10934 6834 6655 28588
gemat12 10794 8391 7311 29700
gent113 21466 4786 8828 13937
goodwin 13085 10840 13462 71545
gr_30_30 6061 4162 5772 10303
graham1 11635 9527 11852 52370
gre_1107 6657 4679 6890 11859
gre_115 6002 4555 5852 12849
gre_185 7770 5385 6931 13871
gre_216a 6780 5019 5935 10492
gre_216b 8795 4550 8147 8871
gre_343 6233 5192 5685 9089
gre_512 7555 4907 5827 9029
hor_131 8360 5122 7215 11689
ibm32 5474 4869 6504 12116
