Matrix CSR ModCSR Jagged Ellpack
1138_bus 66940 927156 66434 63439
494_bus 6491 5789 7936 12911
662_bus 5641 5694 7589 8254
685_bus 5461 5592 7555 15138
abb313 5222 5348 12425 37936
af23560 9832 6486 8205 18266
arc130 10949 6527 12490 76364
ash219 4848 4835 6004 12865
ash292 7460 5873 6681 14906
ash331 4908 4586 5943 25891
ash608 5637 4366 6463 15580
ash85 5318 6370 6548 16859
ash958 7861 4773 6743 15946
bcspwr01 6280 11855 7278 12760
bcspwr02 4077 17750 5188 10160
bcspwr03 19905 5347 7955 10745
bcspwr04 7868 5574 7223 17722
bcspwr05 4965 5728 5716 10581
bcspwr06 5249 4251 6086 9370
bcspwr07 5049 4625 5527 10125
bcspwr08 5005 4209 5584 15272
bcspwr09 4555 4357 5397 6325
bcspwr10 4413 3363 15555 5077
bcsstk01 5514 5855 6744 15184
bcsstk02 12781 12415 15368 100175
bcsstk04 10464 9078 9296 38818
bcsstk05 6151 7565 7501 38968
bcsstk06 10437 5995 11140 29292
bcsstk07 6281 8239 7488 31971
bcsstk08 5452 5182 6605 47782
bcsstk09 6622 4224 12782 13963
bcsstk10 35388 6486 8752 21366
bcsstk11 5721 5906 11235 24852
bcsstk12 5638 5384 7190 25213
bcsstk13 6664 5645 7160 27015
bcsstk14 9717 11255 8949 42898
bcsstk15 9823 6657 12053 55035
bcsstk16 8708 5346 6869 22387
bcsstk17 5941 5923 18440 56161
bcsstk18 5064 4290 6798 19941
bcsstk19 6098 5074 7639 11787
bcsstk20 5034 4679 6316 9583
bcsstk21 4730 4340 6140 7662
bcsstk22 7326 5993 8555 9828
bcsstk23 5844 5698 6741 21946
bcsstk24 6747 6704 10317 32052
bcsstk25 6308 6778 7179 27513
bcsstk26 6008 7200 7090 21964
bcsstk27 7901 7296 9896 40142
bcsstk28 8011 7598 9579 37057
bcsstk29 8513 8710 16875 60603
bcsstk30 7892 7971 9779 43967
bcsstk31 11593 8955 7929 32037
bcsstk32 7476 7384 8879 36212
bcsstk33 6463 5613 9186 17078
bcsstk34 7061 6620 8178 88108
bcsstk35 7288 7219 8891 27941
bcsstk36 7291 6995 9020 36141
bcsstk37 7036 6436 8132 28119
bcsstk38 7980 7292 9799 44278
bcsstm02 3134 3787 4870 4678
bcsstm05 3072 2769 3904 3528
bcsstm06 2995 2837 4444 4225
bcsstm07 7582 6447 7595 25770
bcsstm08 5104 16112 5319 32671
bcsstm09 4310 3591 5837 5025
bcsstm10 7009 6108 7934 21810
bcsstm11 8606 4333 5487 5062
bcsstm19 4948 4041 5570 6765
bcsstm20 3278 3599 4780 4278
bcsstm21 5345 3766 5979 5595
bcsstm22 2929 3700 4509 4062
bcsstm23 5317 4288 5583 5545
bcsstm24 5062 4399 5759 5075
bcsstm25 5560 3880 6487 5867
bcsstm26 4741 4428 6030 5689
bcsstm27 12105 7803 34292 43722
bcsstm34 10280 7601 21492 43954
bcsstm39 8222 4183 5430 6464
beaflw 11374 6010 7405 53890
beause 8975 6055 7368 17969
bfwa398 10762 5735 7643 21886
bfwa62 13165 6737 8603 30359
bfwa782 7395 5735 7375 13654
bfwb398 7030 5086 7796 9345
bfwb62 5823 5238 6620 16430
bfwb782 6872 5475 6488 9776
big 7006 5112 6385 13687
blckhole 7202 6679 7077 9569
bwm200 6318 4305 6150 7896
bwm2000 6781 5503 6599 10767
can_1054 7735 5486 6928 23116
can_1072 7228 5546 7700 21751
can_144 5273 4770 6009 21092
can_161 5013 4740 6142 11823
can_187 25280 4752 6350 11866
can_229 7542 47124 7025 12248
can_24 5224 4125 5684 11275
can_256 6491 6354 6996 26291
can_268 7940 5664 7391 22719
can_292 7169 4815 9555 15819
can_445 7829 4558 6899 13019
can_61 5810 5746 6890 34764
can_62 5550 3918 5146 10720
can_634 6776 4734 10269 14104
can_715 7109 4640 8407 12430
can_73 4441 3979 5090 10788
can_838 6712 4726 6634 11960
can_96 4716 4150 6793 10904
cavity01 9607 7632 10242 52625
cavity03 9732 7546 10764 56290
cavity05 10100 7723 11103 75831
cavity07 9219 8729 12264 52800
cavity09 13262 8423 10061 55096
cavity10 10915 7639 10670 52352
cavity12 11395 7943 10182 52249
cavity14 9899 7851 9912 53208
cavity16 9726 8477 11687 81965
cavity18 10794 9608 10215 54843
cavity20 9808 7781 11179 60082
cavity22 15015 7744 10979 52824
cavity24 9311 7855 10552 64708
cavity26 11999 9615 18745 52568
cdde1 6845 4408 6323 9327
cdde2 6080 4434 5959 9157
cdde3 6330 4633 6566 10696
cdde4 6102 4447 6391 9269
cdde5 11198 5639 7735 10328
cdde6 378265 4366 6622 9103
circuit_1 6100 4137 5334 10293
circuit_2 5604 3755 5173 4840
circuit_3 7331 4285 7540 10293
circuit_4 7699 4140 5698 9963
ck104 6652 4818 6461 16748
ck400 6992 4655 7131 11642
ck656 6809 4980 6840 11564
coater1 7950 5734 6570 34093
coater2 8022 6382 8939 25029
conf5_0-4x4-10 9235 6642 10482 35398
crystk01 8015 16949 8760 23807
crystk02 6677 5124 6825 15774
crystk03 6614 5256 6826 11772
crystm01 6472 4331 5825 10404
crystm02 5789 4159 5305 7618
crystm03 6629 3754 5270 7340
ct20stif 7612 5929 8222 19910
curtis54 5481 5876 6184 27408
d_ss 4415 4159 5350 10842
dw1024 6459 4656 6049 8944
dw256A 6856 4534 6136 10500
dw256B 7055 4940 6791 34474
dw4096 6999 5340 5810 7604
dwt_1005 6565 5334 6642 10401
dwt_1007 6027 4808 7855 11375
dwt_1242 6394 5288 6270 11816
dwt_162 4522 4548 5471 9546
dwt_193 7099 5334 9658 22399
dwt_198 5287 4238 5570 9970
dwt_209 5762 4594 6015 13803
dwt_221 10665 4928 5724 12499
dwt_234 5388 3853 6267 9283
dwt_245 8779 5169 5782 14113
dwt_2680 7376 4637 6839 11769
dwt_307 10303 5337 7424 14721
dwt_310 6082 4597 6038 9665
dwt_346 8854 5761 6577 16342
dwt_361 8660 6380 8822 13806
dwt_419 9807 6120 8284 18514
dwt_492 7547 5927 8164 17479
dwt_503 7139 4886 7093 12134
dwt_512 6501 5045 12765 14487
dwt_59 4727 4445 5559 9361
dwt_592 7140 4328 5925 10719
dwt_607 6718 5698 6754 10565
dwt_66 5286 4613 23993 9314
dwt_72 4228 3369 5124 7271
dwt_758 5834 4213 11710 11090
dwt_869 6047 6089 6638 11208
dwt_87 5510 4639 5448 13510
dwt_878 7260 4518 6451 10685
dwt_918 8562 4771 6448 14637
dwt_992 7213 4843 6900 10716
epb0 6325 3495 5114 7373
epb1 7044 5039 6365 14710
epb2 6931 4482 6709 11018
epb3 7075 5164 6316 10835
eris1176 13290 11483 12806 73403
ex1 10370 8192 10327 48209
ex10 9276 5875 10505 17713
ex10hs 7223 6005 6961 18641
ex11 10791 9593 10417 40425
ex12 7989 5824 7192 24568
ex13 8720 6529 8892 20536
ex14 8078 6954 11100 21344
ex15 7460 4758 8998 10230
ex18 7345 4923 6545 12200
ex19 7846 5631 6787 17650
ex2 10535 7962 10101 40907
ex20 8691 6869 8321 26052
ex21 10785 8174 10428 38006
ex22 15416 9094 12221 64487
ex23 10578 7037 8854 31892
ex24 11863 9277 10942 41573
ex25 10055 8420 10607 34017
ex26 10200 6252 8338 34930
ex28 10343 6634 8241 25627
ex29 7172 4781 6080 9475
ex3 8649 5775 7015 33730
ex32 7445 9518 7191 27925
ex33 9019 4598 10177 11971
ex35 11139 4847 6509 12199
ex37 6918 4250 6421 11042
ex40 16022 9484 10160 40664
ex5 3712 3934 4476 14900
ex9 8019 6146 7958 19435
fs_183_1 7087 4950 7010 35448
fs_183_3 7568 5180 5491 28841
fs_183_4 10587 6758 6455 32510
fs_183_6 11654 5224 6079 29781
fs_541_1 8115 5077 6557 12179
fs_541_2 7614 4935 7051 11895
fs_541_3 9460 5101 10850 13819
fs_541_4 9301 4915 7357 19743
fs_680_1 9764 4703 6234 9860
fs_680_2 7087 4624 11370 9835
fs_680_3 6690 4731 5903 9209
fs_760_1 6474 3928 6167 8055
fs_760_2 6478 4725 5897 8458
fs_760_3 11566 4155 5400 7650
garon1 9069 5347 6932 14181
garon2 7583 5565 7146 10883
gemat1 8719 5120 7269 22358
