Matrix CSR ModCSR Jagged Ellpack
1138_bus 65000 1856415 1004885 76074
494_bus 6549 5437 7170 17619
662_bus 6033 5030 7330 8048
685_bus 7064 6716 7646 14946
abb313 5057 6602 9007 44430
af23560 7321 6850 8568 18225
arc130 7373 7285 11212 76751
ash219 6351 6220 7835 12980
ash292 7671 6891 6709 19552
ash331 5236 6270 8021 27650
ash608 6235 6342 8752 22490
ash85 7676 6863 8183 16858
ash958 6996 6508 7604 21256
bcspwr01 6471 5663 7335 13123
bcspwr02 6491 23458 7317 14770
bcspwr03 20064 5870 6931 12606
bcspwr04 7174 6700 7935 19411
bcspwr05 7291 5865 7555 13844
bcspwr06 6065 4955 5772 10305
bcspwr07 5403 4406 5692 9924
bcspwr08 5145 4094 6854 11660
bcspwr09 4910 4915 7001 6415
bcspwr10 4490 3542 4858 4935
bcsstk01 5765 5881 6915 15122
bcsstk02 12296 11908 14891 85678
bcsstk04 7918 10193 9943 46721
bcsstk05 8154 7756 8467 29926
bcsstk06 7096 6342 10446 24975
bcsstk07 6389 5971 7325 25246
bcsstk08 17550 6536 6773 48064
bcsstk09 4915 4528 8922 16738
bcsstk10 29914 6475 7580 23494
bcsstk11 5720 7256 7025 25182
bcsstk12 6195 6013 8062 24774
bcsstk13 6482 5642 7681 23518
bcsstk14 9608 8231 20994 48695
bcsstk15 6731 8072 8848 35694
bcsstk16 5873 5825 7560 18514
bcsstk17 6370 5903 7757 67185
bcsstk18 4922 4708 6231 22306
bcsstk19 5405 5230 6655 12002
bcsstk20 4686 4307 6220 9366
bcsstk21 4541 4047 6009 27293
bcsstk22 4735 5114 6163 8506
bcsstk23 5855 5568 6971 15242
bcsstk24 9346 6717 14255 49043
bcsstk25 7932 5490 8837 25117
bcsstk26 7022 7463 7465 29671
bcsstk27 8550 7870 9363 36090
bcsstk28 8483 7720 11495 36336
bcsstk29 10919 7643 10218 73108
bcsstk30 10828 7688 11362 53265
bcsstk31 7479 6472 9111 31766
bcsstk32 8697 6748 8838 36323
bcsstk33 9648 6857 7544 18579
bcsstk34 9833 9550 11953 48060
bcsstk35 9446 9981 8736 39421
bcsstk36 7935 7002 8815 36349
bcsstk37 7540 6318 7970 28924
bcsstk38 8795 7386 10541 44520
bcsstm02 6143 10704 6976 7223
bcsstm05 5352 4910 7075 7757
bcsstm06 5140 4229 4951 5300
bcsstm07 11220 7085 11750 25507
bcsstm08 7446 4247 4897 5466
bcsstm09 4752 3860 5088 4969
bcsstm10 10525 6974 7540 21423
bcsstm11 5682 4272 5790 5773
bcsstm19 4634 7992 5174 5254
bcsstm20 4340 4070 4628 5082
bcsstm21 5480 3806 5266 5701
bcsstm22 4240 3526 4700 4560
bcsstm23 5814 3793 5197 5449
bcsstm24 5584 12061 5465 5550
bcsstm25 5859 4066 5362 7441
bcsstm26 15626 4150 5201 5495
