Matrix ModCSR Jagged Ellpack
1138_bus 546451 688628 802075
494_bus 12030 8714 69929
662_bus 7999 8611 75764
685_bus 6894 13415 108019
abb313 11087 14220 201080
af23560 10081 18935 206229
arc130 14694 19445 515041
ash219 36780 13206 106192
ash292 10062 26074 353983
ash331 6061 33900 132388
ash608 30176 7246 84058
ash85 22377 7329 222149
ash958 5596 7575 81829
bcspwr01 8884 9666 78809
bcspwr02 22620 10468 192274
bcspwr03 11930 12876 88457
bcspwr04 35524 10813 106819
bcspwr05 8485 9493 66266
bcspwr06 11111 7841 47834
bcspwr07 9439 9260 44866
bcspwr08 7718 6353 54166
bcspwr09 6488 5574 36447
bcspwr10 4449 6550 36729
bcsstk01 6970 7372 104486
bcsstk02 20453 24615 877398
bcsstk04 12627 14326 350199
bcsstk05 9130 9030 166940
bcsstk06 9400 14790 196668
bcsstk07 9615 9877 194441
bcsstk08 7558 9049 271404
bcsstk09 6232 10363 94082
bcsstk10 8995 12638 161229
bcsstk11 10143 8825 155864
bcsstk12 7896 8690 170476
bcsstk13 8795 9103 169638
bcsstk14 10843 11877 296987
bcsstk15 10070 11025 268936
bcsstk16 7197 10436 153965
bcsstk17 11671 9241 196654
bcsstk18 9204 6323 49946
bcsstk19 6839 166883 85196
bcsstk20 5541 6985 46160
bcsstk21 5184 6599 43422
bcsstk22 8437 9968 46228
bcsstk23 7219 8070 81859
bcsstk24 9877 13592 192802
bcsstk25 8627 12660 74623
bcsstk26 8110 8625 110326
bcsstk27 11459 18515 251124
bcsstk28 11732 13182 250849
bcsstk29 12174 15615 272120
bcsstk30 12471 13829 251694
bcsstk31 9282 10539 166290
bcsstk32 10341 12240 328843
bcsstk33 9062 9793 134864
bcsstk34 9932 10407 205132
bcsstk35 11453 12072 193811
bcsstk36 11698 25475 671256
bcsstk37 9734 11040 303952
bcsstk38 12569 13877 268568
bcsstm02 4779 29438 135016
bcsstm05 4981 34619 31614
bcsstm06 4635 5775 23925
bcsstm07 10125 11005 189513
bcsstm08 4888 6421 23376
bcsstm09 6755 9506 32414
bcsstm10 13219 16303 131946
bcsstm11 7500 9379 31363
bcsstm19 6881 9578 34483
bcsstm20 6562 9823 37378
bcsstm21 11427 9670 33166
bcsstm22 6302 5406 27817
bcsstm23 8496 11493 43783
bcsstm24 5965 19593 24020
bcsstm25 5335 9692 24247
bcsstm26 5216 5863 33442
bcsstm27 12140 13741 238020
bcsstm34 14796 13723 172472
bcsstm39 7903 8616 26478
beaflw 17047 11039 190810
beause 10530 10820 81025
bfwa398 11265 11341 96320
bfwa62 13190 12676 134888
bfwa782 12128 18762 96993
bfwb398 11650 11006 62095
bfwb62 9486 13058 62751
bfwb782 12564 15599 61737
big 11565 10697 27873
blckhole 9904 11906 61737
bwm200 9199 9075 43489
bwm2000 9458 10342 43914
can_1054 11167 11427 65903
can_1072 11405 11151 69791
can_144 9643 11586 65900
can_161 9027 11232 79281
can_187 8432 14791 62659
can_229 9771 11585 69126
can_24 6640 6087 47997
can_256 10107 12485 96218
can_268 11416 11228 83618
can_292 9352 9696 62301
can_445 12523 16360 89149
can_61 10248 10748 100220
can_62 7745 7710 42949
can_634 9628 11639 79052
can_715 10140 10808 62275
can_73 7785 7968 43655
can_838 10030 11327 62732
can_96 8992 15076 77303
cavity01 16574 17137 305926
cavity03 16656 17888 278981
cavity05 16438 17670 280887
cavity07 18085 18043 317158
cavity09 16635 17947 283054
cavity10 16885 17341 280460
cavity12 16630 17742 279978
cavity14 16637 19039 340417
cavity16 16571 16931 487925
cavity18 16523 20992 281372
cavity20 16999 31999 308768
cavity22 16406 17125 286699
cavity24 16176 17505 282111
cavity26 22482 17906 281839
cdde1 9996 11387 62485
cdde2 9690 10793 62435
cdde3 12971 11353 82999
cdde4 9873 11206 61600
cdde5 11409 19218 93910
cdde6 13703 10990 61931
circuit_1 9271 10169 26968
circuit_2 8902 9225 36081
circuit_3 10747 14881 62083
circuit_4 8856 9542 29635
ck104 10436 11454 113872
ck400 10021 11475 95713
ck656 10337 11572 94721
coater1 11765 12226 89972
coater2 12347 13460 135086
conf5_0-4x4-10 12306 15718 219299
crystk01 12057 13789 160426
crystk02 10305 12071 97507
crystk03 10012 11425 79644
crystm01 9457 10498 77135
crystm02 8625 9570 43279
crystm03 8524 10197 28626
ct20stif 12438 13567 150384
curtis54 9534 8429 92737
d_ss 7044 6829 41239
dw1024 9016 10417 61373
dw256A 9657 11065 77289
dw256B 9050 11042 78456
dw4096 9365 25078 59280
dwt_1005 10166 11448 78503
dwt_1007 9792 21620 61598
dwt_1242 9296 44533 62017
dwt_162 10130 11058 78594
dwt_193 11948 17579 116608
dwt_198 9217 10682 62760
dwt_209 10017 9884 68740
dwt_221 10529 10537 64085
dwt_234 7718 7718 42265
dwt_245 9395 11361 62157
dwt_2680 11008 12081 61732
dwt_307 10627 10954 62538
dwt_310 9471 11538 78250
dwt_346 11879 11666 79265
dwt_361 9152 10395 78589
dwt_419 10200 10575 61770
dwt_492 9809 10598 61916
dwt_503 10606 11649 80660
dwt_512 10827 12930 79081
dwt_59 10841 7812 43379
dwt_592 10462 10831 60780
dwt_607 10612 10497 63350
dwt_66 7900 6964 41737
dwt_72 6471 6924 40775
dwt_758 8885 10071 43763
dwt_869 10041 11251 78360
dwt_87 9333 9638 60895
dwt_878 9481 12901 61117
dwt_918 14234 13918 72830
dwt_992 12757 13276 79009
epb0 10501 10433 30172
epb1 11640 12576 62758
epb2 12211 12828 106548
epb3 11595 12634 62452
eris1176 21603 24255 406732
ex1 18976 27890 269641
ex10 20347 14311 81200
ex10hs 12691 13445 81571
ex11 21447 30068 275615
ex12 13553 14846 100697
ex13 13585 16630 146725
ex14 19012 14408 98850
ex15 11471 13278 44433
ex18 12244 12918 62414
ex19 13281 13402 98168
ex2 17921 20072 277172
ex20 14732 19154 151655
ex21 15574 17108 215664
ex22 19673 32694 351860
ex23 15892 16734 187560
ex24 18830 23433 334004
ex25 16274 17842 230942
ex26 22225 15680 153823
ex28 15139 15355 152135
ex29 9978 11755 27104
ex3 12626 13636 186328
ex32 12674 12159 63251
ex33 11463 12964 45648
ex35 12689 12905 78990
ex37 11912 12344 27321
ex40 19093 19467 276819
ex5 7777 7168 77013
ex9 13949 15100 115994
fs_183_1 14610 18701 59763
fs_183_3 13720 11233 66408
fs_183_4 11400 10883 66544
fs_183_6 11042 10172 49245
fs_541_1 11851 12950 91755
fs_541_2 11388 13014 79790
fs_541_3 11834 13371 80169
fs_541_4 11665 12666 85874
fs_680_1 11317 12922 61112
fs_680_2 11815 12133 69052
fs_680_3 11620 12546 61787
fs_760_1 16032 13609 44282
fs_760_2 10816 12271 45547
fs_760_3 12573 18564 43653
garon1 12225 14163 97650
garon2 11509 13061 78119
gemat1 12290 12514 64529
gemat11 11813 12774 70265
gemat12 12045 12506 69734
gent113 9449 9418 43890
goodwin 23449 28148 456737
gr_30_30 11002 12828 68317
graham1 23008 23119 383800
gre_1107 12764 12702 62991
gre_115 9348 9344 59385
gre_185 10640 11382 78014
gre_216a 10467 10123 59784
gre_216b 10188 11909 60612
gre_343 12142 11328 60398
gre_512 12560 12863 61807
hor_131 12096 12976 78617
ibm32 7661 6808 50429
illc1033 10466 11944 27802
illc1850 10613 11690 28264
impcol_a 8770 8880 42655
impcol_b 8862 9936 79039
impcol_c 7781 8584 43878
impcol_d 10867 17815 46591
impcol_e 16501 18166 141705
jagmesh1 11299 17565 44720
jagmesh2 21266 20288 1105567
jagmesh3 36033 38549 63784
jagmesh4 6014 8618 59984
jagmesh5 6029 8855 59836
jagmesh6 6366 8890 60064
jagmesh7 6493 8917 60394
jagmesh8 6537 12931 81687
jagmesh9 5166 8059 57022
jgl009 5396 7123 90269
jgl011 4670 7038 105774
jpwh_991 6490 10572 34411
lns_131 7159 8177 43477
lns_3937 6295 9358 61487
lns_511 6195 9256 60015
lnsp3937 5298 7970 24137
lnsp_131 7691 9095 89500
lnsp_511 7796 10619 33010
lop163 8035 10512 97177
lpi_box1 4616 9027 25110
lshp1009 5949 9592 59445
lshp1270 6302 19413 59994
lshp1561 6007 9004 59285
lshp1882 6018 13841 58809
lshp2233 5969 9793 42385
lshp2614 5866 9749 42575
lshp3025 5943 9445 42183
lshp3466 5678 10152 42706
lshp_265 6523 10516 67303
lshp_406 6107 9677 60543
lshp_577 6471 9365 59996
lshp_778 5796 9279 42869
lund_a 8673 11905 132638
lund_b 8826 12464 131505
mahindas 4669 8713 24470
mcca 8858 15911 115065
mcfe 14266 16183 290637
meg1 3885 12328 3427
mhd1280b 7459 10599 79759
mhda416 11996 16955 262823
mhdb416 6980 9302 47696
mplate 7689 12230 117769
msc00726 9795 13889 201953
msc01440 5409 9466 43488
msc04515 7239 9948 79540
msc10848 6205 9910 60438
nasa1824 8697 11493 89619
nasa2910 11601 18188 183780
nasa4704 7694 10603 81107
nnc1374 7051 10987 63200
nnc261 8238 11060 89838
nnc666 7459 13849 83173
nopoly 5304 9240 26468
nos1 5081 9500 42695
nos2 5985 9438 42153
nos3 8123 11012 127137
nos4 6067 8048 59705
nos6 4961 9224 42062
nos7 5588 9180 42466
odepa400 5454 8990 41982
odepb400 3897 7127 23401
olm100 5310 8056 58790
olm1000 5911 9262 59179
olm2000 5701 9710 59361
olm500 5945 9731 59549
olm5000 6048 10873 60874
onetone1 5745 9571 26942
onetone2 5771 9088 26951
orani678 4302 8916 23595
orsirr_1 6442 10412 76626
orsirr_2 6346 10591 77365
orsreg_1 6203 10206 77515
pcrystk02 6926 11074 95302
pcrystk03 6216 12705 78625
pct20stif 9271 12945 148261
pde225 6239 8652 76555
pde2961 5680 9464 60106
pde900 5755 9832 60049
pesa 4016 8395 23073
plat1919 8078 9440 74228
plat362 5610 9442 42015
poli 5032 7935 26598
poli_large 5343 8955 41872
pores_1 5204 6732 90768
pores_2 8428 11339 94798
pores_3 5514 9786 42760
pre2 6500 8915 111305
psmigr_1 19050 40050 510428
psmigr_2 18149 24175 494555
