Matrix ModCSR Jagged Ellpack
1138_bus 603488 653632 504455
494_bus 6031 8905 76552
662_bus 7813 9854 58588
685_bus 11909 10281 106583
abb313 13746 14885 199730
af23560 10428 11541 206248
arc130 10390 17336 344482
ash219 8498 9142 110775
ash292 7921 7531 91854
ash331 5197 6645 93064
ash608 5895 6908 75291
ash85 7394 7234 84552
ash958 6510 11138 117534
bcspwr01 8089 7968 77590
bcspwr02 6244 5714 59288
bcspwr03 9427 10560 56397
bcspwr04 11158 7362 71496
bcspwr05 6433 6708 61125
bcspwr06 6461 6610 47393
bcspwr07 7173 9275 46280
bcspwr08 6226 9368 53650
bcspwr09 19058 5815 35567
bcspwr10 5654 5635 39240
bcsstk01 7039 7348 110195
bcsstk02 21561 23812 915290
bcsstk04 38698 14243 348326
bcsstk05 8288 9260 164165
bcsstk06 9483 14392 193306
bcsstk07 10619 10342 188539
bcsstk08 7570 8478 246422
bcsstk09 6137 34825 106186
bcsstk10 8650 13262 163430
bcsstk11 8140 9562 154565
bcsstk12 8439 9020 156707
bcsstk13 9950 10924 172301
bcsstk14 10835 14412 287913
bcsstk15 9890 12352 286502
bcsstk16 7231 8595 163478
bcsstk17 9200 9687 283700
bcsstk18 7585 7661 59350
bcsstk19 6996 9402 86964
bcsstk20 5824 7102 45086
bcsstk21 6700 6712 44687
bcsstk22 9530 7255 44700
bcsstk23 7221 8128 82464
bcsstk24 10723 11734 379798
bcsstk25 13468 8514 74051
bcsstk26 8471 36618 112118
bcsstk27 11519 14275 256638
bcsstk28 11734 13875 252516
bcsstk29 12554 16043 322440
bcsstk30 45983 13976 253104
bcsstk31 9548 10511 166525
bcsstk32 10303 12236 213699
bcsstk33 8194 9641 135747
bcsstk34 9482 10561 345130
bcsstk35 11185 12668 197244
bcsstk36 11191 12406 239840
bcsstk37 9754 11216 284148
bcsstk38 20405 14307 259531
bcsstm02 4364 5139 22512
bcsstm05 4104 5001 23057
bcsstm06 4450 5118 22930
bcsstm07 10530 10477 134077
bcsstm08 4816 6123 23559
bcsstm09 4990 6409 23563
bcsstm10 10104 10897 116602
bcsstm11 5262 6778 26086
bcsstm19 5753 6745 25669
bcsstm20 5045 6990 24170
bcsstm21 8408 6996 27274
bcsstm22 4520 6487 23786
bcsstm23 5939 8060 25074
bcsstm24 7732 11594 26110
bcsstm25 6248 6228 24729
bcsstm26 38191 6842 24979
bcsstm27 13323 47111 246077
bcsstm34 14695 18675 206462
bcsstm39 7681 8638 26661
beaflw 11222 13241 153304
beause 11452 11868 84237
bfwa398 12471 11677 106830
bfwa62 13503 10675 132405
bfwa782 10731 12438 188437
bfwb398 10325 10586 60862
bfwb62 10125 9025 68495
bfwb782 9212 11993 61629
big 10443 11762 34747
blckhole 10418 11821 108767
bwm200 8379 9525 42458
bwm2000 9463 10840 44605
can_1054 12185 11541 72334
can_1072 12995 11674 72755
can_144 8902 9428 63521
can_161 7839 12005 92696
can_187 7743 8815 62138
can_229 11238 12049 65928
can_24 7532 10500 48053
can_256 15662 12805 100027
can_268 12714 11679 84172
can_292 10540 12229 63741
can_445 10854 13819 82690
can_61 10088 11008 102941
can_62 8006 6913 43249
can_634 9230 10886 223415
can_715 10635 14469 67758
can_73 8359 7849 47840
can_838 8737 38960 63369
can_96 7829 9795 80232
cavity01 18761 62624 310684
cavity03 18062 18184 311616
cavity05 23662 39896 291358
cavity07 16723 18452 285065
cavity09 18802 17780 431899
cavity10 18367 17602 283470
cavity12 16832 17991 333609
cavity14 16295 28455 284595
cavity16 16981 17965 311220
cavity18 16634 21049 293065
cavity20 17579 18115 282127
cavity22 18472 19111 335445
cavity24 16990 17866 283827
cavity26 16980 17860 284810
cdde1 10347 12820 62461
cdde2 9525 11312 69305
cdde3 9779 11867 62599
cdde4 9827 11420 63392
cdde5 11276 11707 62409
cdde6 9376 10787 61331
circuit_1 8984 10245 28069
circuit_2 8595 10433 27491
circuit_3 12459 11140 75418
circuit_4 8930 9698 26486
ck104 11036 12210 112224
ck400 10331 11892 96570
ck656 10841 11684 103257
coater1 13682 11743 81738
coater2 12568 14080 160933
conf5_0-4x4-10 12409 17381 225000
crystk01 13401 13844 159428
crystk02 10785 12048 96508
crystk03 9906 11849 78759
crystm01 13066 12263 45180
crystm02 9142 10686 43684
crystm03 13215 10360 25879
ct20stif 47711 13746 149546
curtis54 16285 9750 112750
d_ss 6409 6550 40780
dw1024 9439 10483 62055
dw256A 9594 11053 78970
dw256B 9894 11745 79103
dw4096 9058 10768 49031
dwt_1005 10871 11968 87496
dwt_1007 10605 10490 62810
dwt_1242 10085 12714 63746
dwt_162 12463 11794 85114
dwt_193 13286 16697 117385
dwt_198 10325 10900 61727
dwt_209 11047 11245 63244
dwt_221 9902 10094 62077
dwt_234 7852 11933 43255
dwt_245 15113 17239 63375
dwt_2680 13630 13568 73942
dwt_307 12718 13405 64512
dwt_310 12240 14609 82029
dwt_346 14349 13404 82131
dwt_361 12142 13890 78389
dwt_419 12223 14316 63428
dwt_492 19188 22316 97099
dwt_503 12900 13286 80072
dwt_512 13325 14597 97029
dwt_59 9302 8327 44350
dwt_592 12202 12839 62340
dwt_607 11502 12379 62495
dwt_66 8716 8004 42659
dwt_72 7117 7671 41932
dwt_758 10214 11586 45954
dwt_869 11473 13577 81420
dwt_87 13165 11188 72792
dwt_878 11381 13278 62951
dwt_918 13583 13432 72232
dwt_992 12944 34105 80696
epb0 9665 11726 27423
epb1 12683 14223 64120
epb2 10936 12085 109297
epb3 11386 13089 69283
eris1176 20409 24692 449889
ex1 18417 19343 309749
ex10 10416 14149 81033
ex10hs 12984 13320 81244
ex11 18895 34817 274633
ex12 13715 15236 100539
ex13 18765 15216 203379
ex14 16640 22518 99167
ex15 14145 16706 95614
ex18 13348 51436 63609
ex19 13255 14257 99178
ex2 96823 21388 310215
ex20 15184 16157 186896
ex21 16049 16942 209496
ex22 20280 25530 361772
ex23 68390 19430 189537
ex24 20141 20245 297449
ex25 16780 18954 259326
ex26 22232 15433 178278
ex28 16645 16595 255039
ex29 9733 11532 27010
ex3 13210 16425 100140
ex32 16580 31745 152817
ex33 10211 12757 46460
ex35 12438 14020 79390
ex37 10762 12066 28157
ex40 19456 19875 340393
ex5 8749 8178 91252
ex9 13477 85422 138980
fs_183_1 11843 12313 50677
fs_183_3 11562 10580 65824
fs_183_4 10382 12808 66658
fs_183_6 10850 10332 49597
fs_541_1 11576 12696 78704
fs_541_2 12266 13198 79825
fs_541_3 11802 13937 89632
fs_541_4 12270 13328 79521
fs_680_1 11143 12887 61534
fs_680_2 10505 13495 63755
fs_680_3 10880 11814 62250
fs_760_1 10520 11869 44295
fs_760_2 15655 11945 44095
fs_760_3 10538 11853 43844
garon1 43876 15778 96497
garon2 15591 13367 79078
gemat1 12989 17096 66896
gemat11 16646 14903 90305
gemat12 19735 15948 104603
gent113 10738 17655 46290
goodwin 23447 25553 457657
gr_30_30 10544 11600 61304
graham1 21624 22827 384975
gre_1107 12580 12740 63000
gre_115 49327 11836 63190
gre_185 13352 13764 83990
gre_216a 12610 12120 69347
gre_216b 11851 16398 61076
gre_343 12201 12018 61259
gre_512 11566 11747 61827
hor_131 12359 14680 79025
ibm32 9159 11275 60061
illc1033 13642 11015 28067
illc1850 9655 13059 31262
impcol_a 12225 16428 63345
impcol_b 17372 17695 105101
impcol_c 13641 13488 64775
impcol_d 34800 34906 79029
impcol_e 18459 18724 210425
jagmesh1 11683 16501 388293
jagmesh2 1397467 1177255 1661695
jagmesh3 54576 253610 67061
jagmesh4 5428 17742 68105
jagmesh5 5755 7723 60486
jagmesh6 5539 9239 61118
jagmesh7 5690 11080 61545
jagmesh8 8006 11217 95697
jagmesh9 6402 7324 43329
jgl009 2937 4735 66392
jgl011 3133 4575 78992
jpwh_991 3255 6207 37402
lns_131 6214 7191 52298
