Matrix ModCSR Jagged Ellpack
1138_bus 545083 635789 833592
494_bus 9464 11283 79089
662_bus 12475 9059 68967
685_bus 23400 12436 114052
abb313 8541 12054 177911
af23560 10615 11164 206481
arc130 10518 18867 343926
ash219 6078 6795 72935
ash292 9483 7720 94686
ash331 5589 6736 114944
ash608 6249 7540 75250
ash85 10671 7475 122204
ash958 5775 8699 78981
bcspwr01 9384 8586 82150
bcspwr02 6301 5688 59059
bcspwr03 10030 11144 85307
bcspwr04 10125 9778 104179
bcspwr05 9057 6644 48757
bcspwr06 6306 6963 47818
bcspwr07 6852 6443 45837
bcspwr08 6056 6118 103197
bcspwr09 5689 5763 35829
bcspwr10 4614 11773 38623
bcsstk01 7639 8796 107165
bcsstk02 19194 23249 1558388
bcsstk04 11914 14077 314785
bcsstk05 11769 8812 227311
bcsstk06 9242 15670 213583
bcsstk07 13070 9725 189930
bcsstk08 7640 7634 177140
bcsstk09 6202 11256 91635
bcsstk10 12194 18639 168464
bcsstk11 8966 14420 153763
bcsstk12 8115 8835 156634
bcsstk13 8596 9636 190961
bcsstk14 18367 12064 319550
bcsstk15 10217 16913 299534
bcsstk16 7560 8529 177159
bcsstk17 8550 29841 165027
bcsstk18 6303 7812 56517
bcsstk19 7039 8846 88045
bcsstk20 5989 6861 46564
bcsstk21 5703 6728 45051
bcsstk22 9890 10671 49608
bcsstk23 7774 7940 133191
bcsstk24 10697 13733 218902
bcsstk25 9510 9297 79671
bcsstk26 11930 9418 112385
bcsstk27 11595 13396 278012
bcsstk28 11833 13521 255202
bcsstk29 13164 25674 271349
bcsstk30 12748 14166 253928
bcsstk31 13580 10531 166130
bcsstk32 11325 12227 215265
bcsstk33 8552 10401 135451
bcsstk34 10882 10996 530510
bcsstk35 11262 12142 195095
bcsstk36 11119 12976 197985
bcsstk37 10327 11067 263558
bcsstk38 12439 14144 257271
bcsstm02 4747 5560 23321
bcsstm05 4185 5215 22211
bcsstm06 4481 5498 22758
bcsstm07 9873 10523 134597
bcsstm08 5032 5794 23763
bcsstm09 4622 5921 23737
bcsstm10 9343 10258 116874
bcsstm11 5340 5942 23836
bcsstm19 5270 6123 25246
bcsstm20 4860 5274 23387
bcsstm21 4820 5941 25065
bcsstm22 4548 5202 22373
bcsstm23 5190 6510 24840
bcsstm24 5916 6122 24276
bcsstm25 5425 7450 25401
bcsstm26 5444 6806 25605
bcsstm27 12455 14787 288648
bcsstm34 14894 54926 204436
bcsstm39 7333 9460 25819
beaflw 11563 11590 130704
beause 10731 11090 80596
bfwa398 11284 11961 135851
bfwa62 11325 12093 149156
bfwa782 10964 12257 97816
bfwb398 9775 15424 61795
bfwb62 9101 9237 62349
bfwb782 9857 10805 62903
big 10613 10890 28769
blckhole 16081 11383 61657
bwm200 7572 9590 42946
bwm2000 10674 11244 98368
can_1054 11015 11387 66310
can_1072 11418 11436 65802
can_144 8856 9810 64100
can_161 8220 9554 78447
can_187 9870 10934 62585
can_229 14519 12634 72778
can_24 7071 9645 48529
can_256 15469 11675 90716
can_268 11126 12998 83779
can_292 9655 12143 70276
can_445 9544 11603 92559
can_61 12217 11119 102110
can_62 8123 8150 43038
can_634 9980 18524 92800
can_715 10500 35066 64959
can_73 7658 8193 43469
can_838 11356 11158 201730
can_96 8003 10633 77418
cavity01 16228 17598 281862
cavity03 16641 19053 288990
cavity05 16855 19762 493335
cavity07 18567 25798 290034
cavity09 17548 18686 286767
cavity10 17130 19265 282170
cavity12 17335 18476 301314
cavity14 46245 18035 280981
cavity16 18430 20894 411228
cavity18 21496 18152 301931
cavity20 16758 17687 346370
cavity22 17266 19759 298671
cavity24 16979 18495 352611
cavity26 22280 46202 279381
cdde1 9705 11502 62519
cdde2 9279 11140 63934
cdde3 10139 11483 63081
cdde4 10945 11199 61890
cdde5 11718 12814 64845
cdde6 8945 11658 62274
circuit_1 9456 9532 40070
circuit_2 8549 9984 25470
circuit_3 10085 15034 61794
circuit_4 9559 9885 27374
ck104 11323 11285 113749
ck400 10390 11892 96320
ck656 10810 11275 95910
coater1 12324 11954 143397
coater2 13174 15695 134234
conf5_0-4x4-10 12920 18534 285991
crystk01 14008 15232 142334
crystk02 12435 11513 96261
crystk03 11321 11852 79515
crystm01 9602 10991 45230
crystm02 9870 10484 44297
crystm03 8306 10302 31191
ct20stif 12807 14842 149255
curtis54 11260 9909 112480
d_ss 7639 7877 44619
dw1024 9510 11188 61917
dw256A 10174 10565 79618
dw256B 10934 10865 89620
dw4096 13595 10056 44483
dwt_1005 11389 11524 79197
dwt_1007 10786 14393 64821
dwt_1242 10085 11457 64571
dwt_162 9385 10480 78011
dwt_193 11601 14985 116990
dwt_198 8994 9859 62795
dwt_209 9585 10037 62667
dwt_221 10180 9919 62467
dwt_234 8169 10522 43169
dwt_245 9834 10168 62842
dwt_2680 10322 11785 63844
dwt_307 11830 11885 66913
dwt_310 9527 11222 79674
dwt_346 13065 11718 84897
dwt_361 14343 18292 106958
dwt_419 14394 15777 86979
dwt_492 14326 16342 89455
dwt_503 11566 12654 102206
dwt_512 11480 15419 80931
dwt_59 8550 7932 43262
dwt_592 9664 10474 62143
dwt_607 14524 11979 64191
dwt_66 10116 8295 47875
dwt_72 6791 8277 42622
dwt_758 9857 16785 46649
dwt_869 11580 11737 80838
dwt_87 9128 8440 62042
dwt_878 9827 12957 62739
dwt_918 12736 13937 63847
dwt_992 12359 14089 79878
epb0 9774 11165 33310
epb1 12709 13184 83471
epb2 11385 13925 63358
epb3 12910 12642 62503
eris1176 24364 24445 412395
ex1 19298 19778 328479
ex10 13401 17654 82295
ex10hs 14063 13895 83593
ex11 22312 20909 307403
ex12 12842 14425 100292
ex13 14791 17283 135216
ex14 15555 23190 109049
ex15 11933 13908 47005
ex18 12981 13122 63178
ex19 14721 13393 98717
ex2 17417 20020 278105
ex20 15547 16705 154936
ex21 16811 20012 236243
ex22 20435 22718 386272
ex23 16002 16331 192100
ex24 20840 20781 324309
ex25 18747 18710 230203
ex26 14890 16499 155461
ex28 15575 15666 151744
ex29 15462 12786 32259
ex3 14362 14072 177020
ex32 21671 14545 69281
ex33 12426 17619 48522
ex35 20780 12602 79936
ex37 10850 12655 28849
ex40 21368 19568 279066
ex5 7406 7233 76709
ex9 13440 15041 116827
fs_183_1 12628 13858 60812
fs_183_3 13160 11746 66703
fs_183_4 18000 12303 73742
fs_183_6 12069 11492 50808
fs_541_1 12879 13521 81389
fs_541_2 12733 13763 79885
fs_541_3 12057 19637 91685
fs_541_4 12839 14474 150302
fs_680_1 10516 12690 63490
fs_680_2 10920 30068 64701
fs_680_3 11293 12860 62727
fs_760_1 10108 12554 45354
fs_760_2 13430 11595 44727
fs_760_3 10707 12290 44920
garon1 12130 14613 96768
garon2 13538 14609 78790
gemat1 11848 13776 72815
gemat11 12237 19249 68712
gemat12 11928 13866 72311
gent113 9847 9774 45387
goodwin 25173 25291 512735
gr_30_30 10910 12773 62512
graham1 24500 28301 382781
gre_1107 12793 12297 63019
gre_115 8773 9166 61902
gre_185 12583 19080 107687
gre_216a 11876 13770 61802
gre_216b 13175 13340 60295
gre_343 13110 14076 63272
gre_512 13395 13931 62775
hor_131 13965 13407 79653
ibm32 7363 6615 50658
illc1033 9070 11476 29123
illc1850 14654 17199 29330
impcol_a 9757 9894 43913
impcol_b 8737 9359 79952
impcol_c 7819 8849 44606
impcol_d 13466 11802 47367
impcol_e 11984 13930 100498
jagmesh1 11623 13253 45959
jagmesh2 19867 29154 1105928
jagmesh3 37999 41390 64022
jagmesh4 6716 9084 61140
jagmesh5 6150 8955 84307
jagmesh6 6587 8967 66616
jagmesh7 7508 9141 62774
jagmesh8 6819 13085 86066
jagmesh9 5444 8464 57960
jgl009 3944 5069 67263
jgl011 4005 5649 80235
jpwh_991 4403 8021 24774
lns_131 7158 8346 43637
lns_3937 9886 9903 74678
lns_511 7764 9596 61185
lnsp3937 5251 8364 30179
lnsp_131 7539 8321 62551
lnsp_511 6481 8712 27192
lop163 7951 38999 95617
lpi_box1 4619 10674 26130
lshp1009 6262 10839 63344
lshp1270 7102 19011 63469
lshp1561 6464 14945 63049
lshp1882 6144 9656 60679
lshp2233 6536 11034 43275
lshp2614 6985 15916 43035
lshp3025 5788 10040 49641
lshp3466 6226 9706 43995
lshp_265 6892 9375 60792
lshp_406 6849 10016 61417
lshp_577 6741 10323 60065
lshp_778 6393 9768 43375
lund_a 8923 12485 147688
lund_b 9066 12645 132825
mahindas 4727 8765 24774
mcca 9498 17334 117268
mcfe 13315 18825 301070
meg1 3784 15913 6492
mhd1280b 8692 12201 90279
mhda416 12705 26218 262992
mhdb416 6735 9755 53241
mplate 8259 16732 128021
msc00726 10050 13790 169167
msc01440 5535 9773 44504
msc04515 7100 10505 81220
msc10848 6333 10093 61404
nasa1824 7963 10974 97104
nasa2910 10242 15045 183468
nasa4704 7312 10743 96142
nnc1374 7722 11129 64825
nnc261 7632 11194 82543
nnc666 7537 10637 81006
nopoly 5728 12841 28972
nos1 5332 8871 41858
nos2 5298 9532 43360
nos3 7391 11399 95368
nos4 6389 9424 61140
nos6 5803 9250 43237
nos7 5522 13303 42928
odepa400 5537 14267 57154
odepb400 6629 10477 31875
olm100 8223 13694 86339
olm1000 8393 13839 85239
olm2000 10812 10019 88959
olm500 6246 14112 81913
olm5000 6036 10152 61320
onetone1 6426 9330 27813
onetone2 6038 9342 32313
orani678 5264 9077 26021
orsirr_1 6740 10407 78258
orsirr_2 6463 12036 77739
orsreg_1 7184 11572 77123
pcrystk02 7004 11095 115868
